symbol,cluster
RELIANCE.NS,1
TCS.NS,2
HDFCBANK.NS,1
INFY.NS,2
ICICIBANK.NS,2
HINDUNILVR.NS,1
ITC.NS,2
SBIN.NS,2
BHARTIARTL.NS,1
KOTAKBANK.NS,1
LT.NS,2
AXISBANK.NS,2
ASIANPAINT.NS,1
MARUTI.NS,2
TITAN.NS,2
SUNPHARMA.NS,2
ULTRACEMCO.NS,1
NESTLEIND.NS,1
BAJFINANCE.NS,0
WIPRO.NS,1
HCLTECH.NS,1
ADANIENT.NS,0
ONGC.NS,4
NTPC.NS,2
POWERGRID.NS,1
TATASTEEL.NS,4
BAJAJFINSV.NS,0
M&M.NS,0
TECHM.NS,1
COALINDIA.NS,2
HINDALCO.NS,4
INDUSINDBK.NS,3
DRREDDY.NS,1
CIPLA.NS,1
EICHERMOT.NS,2
DIVISLAB.NS,1
TATACONSUM.NS,1
GRASIM.NS,2
JSWSTEEL.NS,0
APOLLOHOSP.NS,1
HEROMOTOCO.NS,2
BRITANNIA.NS,1
SBILIFE.NS,2
ADANIPORTS.NS,0
BPCL.NS,2
HDFCLIFE.NS,2
SHRIRAMFIN.NS,4
LTIM.NS,0
BAJAJ-AUTO.NS,1
