symbol,cluster
RELIANCE.NS,4
TCS.NS,1
HDFCBANK.NS,1
INFY.NS,1
ICICIBANK.NS,4
HINDUNILVR.NS,1
ITC.NS,1
SBIN.NS,0
BHARTIARTL.NS,4
KOTAKBANK.NS,1
LT.NS,4
AXISBANK.NS,0
ASIANPAINT.NS,1
MARUTI.NS,1
TITAN.NS,4
SUNPHARMA.NS,4
ULTRACEMCO.NS,1
NESTLEIND.NS,1
BAJFINANCE.NS,0
WIPRO.NS,1
HCLTECH.NS,4
ADANIENT.NS,3
ONGC.NS,0
NTPC.NS,4
POWERGRID.NS,4
TATASTEEL.NS,0
BAJAJFINSV.NS,0
M&M.NS,4
TECHM.NS,4
COALINDIA.NS,0
HINDALCO.NS,0
INDUSINDBK.NS,2
DRREDDY.NS,1
CIPLA.NS,1
EICHERMOT.NS,0
DIVISLAB.NS,4
TATACONSUM.NS,4
GRASIM.NS,0
JSWSTEEL.NS,0
APOLLOHOSP.NS,4
HEROMOTOCO.NS,0
BRITANNIA.NS,1
SBILIFE.NS,4
ADANIPORTS.NS,0
BPCL.NS,0
HDFCLIFE.NS,1
SHRIRAMFIN.NS,0
LTIM.NS,4
BAJAJ-AUTO.NS,4
