symbol,cluster
RELIANCE.NS,1
TCS.NS,3
HDFCBANK.NS,3
INFY.NS,1
ICICIBANK.NS,1
HINDUNILVR.NS,3
ITC.NS,3
SBIN.NS,0
BHARTIARTL.NS,1
KOTAKBANK.NS,3
LT.NS,1
AXISBANK.NS,0
ASIANPAINT.NS,3
MARUTI.NS,3
TITAN.NS,1
SUNPHARMA.NS,1
ULTRACEMCO.NS,1
NESTLEIND.NS,1
BAJFINANCE.NS,0
WIPRO.NS,3
HCLTECH.NS,1
ADANIENT.NS,2
ONGC.NS,0
NTPC.NS,1
POWERGRID.NS,1
TATASTEEL.NS,0
BAJAJFINSV.NS,0
M&M.NS,0
TECHM.NS,1
COALINDIA.NS,0
HINDALCO.NS,0
INDUSINDBK.NS,4
DRREDDY.NS,1
CIPLA.NS,3
EICHERMOT.NS,0
DIVISLAB.NS,1
TATACONSUM.NS,1
GRASIM.NS,0
JSWSTEEL.NS,0
APOLLOHOSP.NS,1
HEROMOTOCO.NS,3
BRITANNIA.NS,1
SBILIFE.NS,1
ADANIPORTS.NS,0
BPCL.NS,0
HDFCLIFE.NS,3
SHRIRAMFIN.NS,0
LTIM.NS,0
BAJAJ-AUTO.NS,1
