date,portfolio_value
2013-01-03,1001733.257522702
2013-01-04,1001341.0832199437
2013-01-07,1001814.9956245659
2013-01-08,1000869.3017471482
2013-01-09,997345.0427137087
2013-01-10,998156.9668323679
2013-01-11,993574.3564460009
2013-01-14,993761.3336153184
2013-01-15,995469.5303210445
2013-01-16,991807.7407763242
2013-01-17,990274.910106637
2013-01-18,988997.2398594647
2013-01-21,989755.1825960294
2013-01-22,992207.4258541415
2013-01-23,990489.1165343323
2013-01-24,988773.1337798856
2013-01-25,989325.3020709613
2013-01-28,987301.686336845
2013-01-29,989586.0694334166
2013-01-30,993428.4012769962
2013-01-31,996460.3822036367
2013-02-01,997222.9884157141
2013-02-05,996525.2134049247
2013-02-06,996293.7372913419
2013-02-07,995707.6929633595
2013-02-08,993693.9189877306
2013-02-11,993870.1486119536
2013-02-12,993788.3432587427
2013-02-13,992900.9126014824
2013-02-14,993131.3756611902
2013-02-15,992664.952911232
2013-02-18,992246.624919511
2013-02-19,994228.615228186
2013-02-20,994853.9470743261
2013-02-21,993769.3474268251
2013-02-22,993435.5818534764
2013-02-25,993634.0443191314
2013-02-26,991522.865532763
2013-02-27,992009.743604677
2013-02-28,990531.6275540019
2013-03-01,991698.8016982536
2013-03-05,992264.0378304258
2013-03-06,991989.6277003183
2013-03-07,993196.9531126964
2013-03-08,994585.1744779705
2013-03-11,994772.3717401025
2013-03-12,994385.7279495985
2013-03-13,994471.3381575469
2013-03-14,995176.6565987216
2013-03-15,995421.5351722022
2013-03-18,995221.7582441296
2013-03-19,994568.6317035292
2013-03-20,994308.328851005
2013-03-21,993742.5411161785
2013-03-22,993050.9532627523
2013-03-25,992285.4600026378
2013-03-26,992258.354209673
2013-03-28,993302.1740040142
2013-04-01,993329.1993258937
2013-04-03,993267.7232900969
2013-04-04,991979.9390807383
2013-04-05,991601.8510219785
2013-04-08,991160.9795775027
2013-04-09,990493.2933876562
2013-04-10,990713.5349971964
2013-04-11,991302.4218272766
2013-04-12,991720.4387904959
2013-04-15,991734.2602187296
2013-04-16,992728.557355008
2013-04-17,993131.419704731
2013-04-18,993212.0802830454
2013-04-22,993539.5431389036
2013-04-23,994041.1094636212
2013-04-25,994700.3205787769
2013-04-26,993844.7501215534
2013-04-29,994001.2083681496
2013-04-30,994767.317113878
2013-05-02,995848.3458731556
2013-05-06,996785.7622914292
2013-05-07,998066.0324748928
2013-05-08,998807.119519077
2013-05-09,997205.0627345442
2013-05-10,997337.8095272093
2013-05-13,996349.8208012121
2013-05-14,997576.4247779017
2013-05-15,999615.2196902544
2013-05-16,1000385.6355232442
2013-05-17,1000266.8584680724
2013-05-20,999597.4661383231
2013-05-21,999128.9155207397
2013-05-22,999973.2674007576
2013-05-23,999696.3443903424
2013-05-24,998344.726467701
2013-05-27,1001181.7233854252
2013-05-28,1001554.8857822216
2013-05-29,1003515.6225314136
2013-05-30,1004555.7165888003
2013-05-31,1003311.3302895959
2013-06-03,1000985.7040390688
2013-06-05,1001299.1791585907
2013-06-06,1000326.3630960396
2013-06-07,1000234.6829493922
2013-06-10,999781.3159322648
2013-06-11,997997.0867720061
2013-06-12,997167.2601043346
2013-06-13,994721.6665281056
2013-06-14,996446.5792290607
2013-06-17,997634.6233505257
2013-06-18,997568.110386349
2013-06-19,996973.3276333106
2013-06-20,996535.0730739209
2013-06-21,994850.8347328466
2013-06-24,992534.2707449592
2013-06-25,992746.0162570386
2013-06-26,992458.6511821578
2013-06-27,994714.8381855433
2013-06-28,997865.8979320149
2013-07-01,999383.6027032097
2013-07-03,998257.2365584635
2013-07-04,999628.5925426802
2013-07-05,1000398.7945870262
2013-07-08,1000698.304147254
2013-07-09,1002869.0300925795
2013-07-10,1002978.6337031103
2013-07-11,1004847.4985513601
2013-07-12,1006375.0053560081
2013-07-15,1007320.9287915013
2013-07-16,1006948.8256260692
2013-07-17,1010410.2360645443
2013-07-18,1011250.5190505064
2013-07-19,1009551.1483463994
2013-07-22,1010135.5823059279
2013-07-23,1011626.117807618
2013-07-24,1011453.8314194564
2013-07-25,1008524.636533898
2013-07-26,1007589.6374831133
2013-07-29,1005971.3956065368
2013-07-30,1003238.9292095648
2013-07-31,1002882.3299877335
2013-08-01,1003367.1268609223
2013-08-05,1003200.8608955098
2013-08-06,1000883.8387223055
2013-08-07,998561.2099221601
2013-08-08,998035.835775488
2013-08-12,1001212.9853496695
2013-08-13,1002290.2401516549
2013-08-14,1002455.758127715
2013-08-16,1000363.8310668368
2013-08-19,998049.4320799493
2013-08-20,995714.1205721132
2013-08-21,993502.3755898341
2013-08-22,996089.1244553189
2013-08-23,997889.122648984
2013-08-26,999089.084249084
2013-08-27,996805.6538919278
2013-08-28,996795.6062250846
2013-08-29,998582.0234990072
2013-08-30,1000588.9449717626
2013-09-02,1001581.2385466781
2013-09-04,1002856.4962668576
2013-09-05,1002606.9256736863
2013-09-06,1002639.5958668833
2013-09-10,1004469.4687327573
2013-09-11,1004884.0710971596
2013-09-12,1004639.5024128992
2013-09-13,1004305.6300648942
2013-09-16,1003306.9895543039
2013-09-17,1003912.5060385823
2013-09-18,1004870.1902357995
2013-09-19,1006004.0297014909
2013-09-20,1006160.0764531922
2013-09-23,1005999.8071121364
2013-09-24,1006115.5553769361
2013-09-25,1006526.9338249847
2013-09-26,1006940.9781047213
2013-09-27,1007411.3473030748
2013-09-30,1008101.5580415374
2013-10-01,1008139.9138192249
2013-10-04,1007999.7647065601
2013-10-07,1009302.8826840254
2013-10-08,1009680.895596677
2013-10-09,1010961.2857940859
2013-10-10,1010564.3362469331
2013-10-11,1011013.4096496915
2013-10-14,1012014.6938435823
2013-10-15,1011409.7502426662
2013-10-17,1009602.8368393077
2013-10-18,1011499.2100079254
2013-10-21,1010969.3246269062
2013-10-22,1012009.6160335338
2013-10-23,1012661.7870723908
2013-10-24,1011605.0890611501
2013-10-25,1012088.0914015737
2013-10-28,1011316.3736358013
2013-10-29,1012525.122532001
2013-10-30,1013692.7743195194
2013-10-31,1013265.8766518794
2013-11-01,1013532.468485333
2013-11-06,1014244.7109258285
2013-11-07,1014733.8088472069
2013-11-08,1014252.4143797908
2013-11-11,1011796.866231516
2013-11-12,1013162.984064285
2013-11-13,1012060.9193940213
2013-11-14,1012093.6364091438
2013-11-18,1012969.2089447856
2013-11-19,1012785.6106993817
2013-11-20,1011652.6745278299
2013-11-21,1009158.4390818805
2013-11-22,1008653.0571372098
2013-11-25,1009496.9960766833
2013-11-26,1009534.9702380411
2013-11-27,1009315.3429721025
2013-11-28,1009670.0668110942
2013-11-29,1010197.1039872826
2013-12-02,1013663.0472280396
2013-12-04,1011872.845013518
2013-12-05,1010119.1884527069
2013-12-06,1010036.7132329087
2013-12-09,1010138.3846513453
2013-12-10,1010712.1554141906
2013-12-11,1012199.8892592732
2013-12-12,1011397.630509054
2013-12-13,1011605.6017339168
2013-12-16,1010956.8123009307
2013-12-17,1011567.7388281344
2013-12-18,1013003.0064211054
2013-12-19,1013216.2377859601
2013-12-20,1015471.1895714711
2013-12-23,1014455.8726563453
2013-12-24,1015495.0656263545
2013-12-26,1015500.444710396
2013-12-27,1016449.0704887146
2013-12-30,1016313.0150086079
2013-12-31,1016535.8724352972
2014-01-01,1016613.8446725804
2014-01-03,1017152.5413915116
2014-01-06,1016753.5998528436
2014-01-07,1016473.1981164276
2014-01-08,1017656.2850097584
2014-01-09,1017699.3586801061
2014-01-10,1018400.5171059098
2014-01-13,1019606.9029686583
2014-01-14,1019484.8250205731
2014-01-15,1019154.4738950455
2014-01-16,1019715.6921545182
2014-01-17,1018065.2111047948
2014-01-20,1019936.3887829891
2014-01-21,1019741.7399847806
2014-01-22,1019670.4346391454
2014-01-23,1019363.229849392
2014-01-24,1017800.005280022
2014-01-27,1016217.282278479
2014-01-28,1016014.6567638245
2014-01-29,1015728.6545521276
2014-01-30,1015140.542097219
2014-01-31,1016114.009804388
2014-02-03,1015366.7717230594
2014-02-05,1015344.9134316278
2014-02-06,1016095.3816601738
2014-02-07,1016484.0688125879
2014-02-10,1017012.1418173297
2014-02-11,1017245.105245859
2014-02-12,1017647.1473206057
2014-02-13,1017737.1795098517
2014-02-14,1018116.2966767625
2014-02-17,1018295.8460102543
2014-02-18,1018548.1163136049
2014-02-19,1019015.7114511828
2014-02-20,1018779.0100377956
2014-02-21,1019382.4107600328
2014-02-24,1019340.7746456665
2014-02-25,1019869.5661431586
2014-02-26,1020262.9776328086
2014-02-28,1021131.9463626404
2014-03-03,1019425.8310714468
2014-03-05,1020017.8294026289
2014-03-06,1020358.5660954373
2014-03-07,1018615.5145374595
2014-03-10,1017514.2827423532
2014-03-11,1017231.9456291954
2014-03-12,1017796.9381700278
2014-03-13,1017591.0990059669
2014-03-14,1017381.4588034844
2014-03-18,1017370.9067058839
2014-03-19,1017649.9644677712
2014-03-20,1017842.6515773814
2014-03-21,1018255.5822175916
2014-03-24,1017881.1047547301
2014-03-25,1017642.4339587905
2014-03-26,1016094.8272051848
2014-03-27,1015541.1790732131
2014-03-28,1016244.7785431885
2014-03-31,1016259.6008045467
2014-04-01,1017122.9035242227
2014-04-03,1017184.1524388455
2014-04-04,1016154.9043156853
2014-04-07,1015754.1502865484
2014-04-09,1017121.6419856953
2014-04-10,1017534.7441053074
2014-04-11,1016862.891121845
2014-04-15,1016397.0930499936
2014-04-16,1015768.4443971589
2014-04-17,1015709.3733257583
2014-04-21,1016923.8098050227
2014-04-22,1018125.1284082684
2014-04-23,1019423.3647219513
2014-04-24,1019423.3647219513
2014-04-25,1018360.743626053
2014-04-28,1018702.5146931929
2014-04-29,1018282.0447162418
2014-04-30,1018848.9507495932
2014-05-02,1019511.2086551584
2014-05-06,1018899.4580690268
2014-05-07,1018214.8261230261
2014-05-08,1018304.5720276334
2014-05-09,1019586.752803398
2014-05-12,1020506.8586070769
2014-05-13,1022288.9772044792
2014-05-14,1022133.4137970508
2014-05-15,1020307.9502399699
2014-05-16,1020004.2542549892
2014-05-19,1018336.5165445445
2014-05-20,1020921.6615702691
2014-05-21,1025048.8320610491
2014-05-22,1025681.4960515195
2014-05-23,1027748.1953430464
2014-05-26,1025773.5367597288
2014-05-27,1025608.8646324122
2014-05-28,1025423.3352435009
2014-05-29,1024674.7936395305
2014-05-30,1024259.47075644
2014-06-02,1025797.704966955
2014-06-04,1025570.1355060663
2014-06-05,1026760.6755927418
2014-06-06,1027486.8051582418
2014-06-09,1028782.8963431106
2014-06-10,1029072.7770373117
2014-06-11,1029689.4809589685
2014-06-12,1029972.6436822759
2014-06-13,1029178.165521719
2014-06-16,1029248.5105436929
2014-06-17,1029804.6026860062
2014-06-18,1029291.1562126823
2014-06-19,1028927.9851729615
2014-06-20,1027977.1983932694
2014-06-23,1028013.4755584464
2014-06-24,1028611.0863663726
2014-06-25,1029458.8403318571
2014-06-26,1029982.3162100296
2014-06-27,1032150.9981968459
2014-06-30,1034332.9481340124
2014-07-01,1034153.1834086515
2014-07-03,1041446.617671656
2014-07-04,1043580.7184054255
