date,portfolio_value
2013-01-03,1002773.9916724754
2013-01-04,1002401.433447048
2013-01-07,1004421.7394871378
2013-01-08,1002224.4614681895
2013-01-09,994904.4898094786
2013-01-10,994515.2636851433
2013-01-11,985848.5778669049
2013-01-14,987794.2490978134
2013-01-15,991634.7430520487
2013-01-16,982808.3710718165
2013-01-17,981509.0196874087
2013-01-18,979524.0230932473
2013-01-21,981486.6120409884
2013-01-22,988752.4016343541
2013-01-23,984680.0892264151
2013-01-24,980080.3812682271
2013-01-25,981263.2180753428
2013-01-28,977889.88401288
2013-01-29,980260.2546564041
2013-01-30,987852.1808651811
2013-01-31,994373.9848087834
2013-02-01,992982.4258153936
2013-02-05,989504.2775370484
2013-02-06,987408.7868890149
2013-02-07,983927.1045047335
2013-02-08,971699.289101644
2013-02-11,969351.1366106546
2013-02-12,969703.4195634671
2013-02-13,966405.1332994035
2013-02-14,968172.8031202325
2013-02-15,965961.5438658382
2013-02-18,964609.1338569473
2013-02-19,979296.962424743
2013-02-20,986161.9219393684
2013-02-21,976245.6201905238
2013-02-22,974313.744579464
2013-02-25,978366.7720850067
2013-02-26,965286.0020570945
2013-02-27,970809.741126774
2013-02-28,960586.1249329466
2013-03-01,968213.2649630229
2013-03-05,973828.1992266614
2013-03-06,971650.2216701681
2013-03-07,980622.5859532306
2013-03-08,992134.3176168839
2013-03-11,992235.1594638802
2013-03-12,988041.6773480979
2013-03-13,986820.436316092
2013-03-14,992851.922881146
2013-03-15,996062.4705979369
2013-03-18,993144.9404114756
2013-03-19,985659.3185569433
2013-03-20,979896.6534959448
2013-03-21,976283.6692989655
2013-03-22,966505.3122695807
2013-03-25,959841.4091170524
2013-03-26,955263.6033774411
2013-03-28,966533.1092132253
2013-04-01,966650.3273891883
2013-04-03,966121.2810545359
2013-04-04,953082.0898032446
2013-04-05,951466.0027386346
2013-04-08,949156.7286029558
2013-04-09,939804.9158133533
2013-04-10,942661.9689338574
2013-04-11,948949.06698766
2013-04-12,950070.3937814931
2013-04-15,952299.4952754058
2013-04-16,963209.1499685718
2013-04-17,967089.92765405
2013-04-18,970205.5737249528
2013-04-22,979622.5068651806
2013-04-23,983793.8052980694
2013-04-25,995581.270411317
2013-04-26,983296.4633996761
2013-04-29,982807.3626045027
2013-04-30,992815.937234783
2013-05-02,1006786.5805155504
2013-05-06,1012066.2843495904
2013-05-07,1020250.0620964926
2013-05-08,1027992.8343971098
2013-05-09,1019108.7731222764
2013-05-10,1021942.1615606539
2013-05-13,1011902.4823751512
2013-05-14,1024745.3760516582
2013-05-15,1043835.1167720561
2013-05-16,1053802.5970102577
2013-05-17,1054971.0816311922
2013-05-20,1054063.2166206094
2013-05-21,1047050.324824036
2013-05-22,1052189.9978644992
2013-05-23,1049716.4456450716
2013-05-24,1041466.8234440759
2013-05-27,1074108.7992280892
2013-05-28,1082867.62311421
2013-05-29,1098341.97056781
2013-05-30,1105830.2246175944
2013-05-31,1098764.3889059129
2013-06-03,1077276.1736849113
2013-06-05,1077541.648808428
2013-06-06,1070853.294087014
2013-06-07,1073754.13730406
2013-06-10,1071647.6782628438
2013-06-11,1061065.1742744911
2013-06-12,1054704.7679270469
2013-06-13,1039759.5888238037
2013-06-14,1047496.7417623022
2013-06-17,1056048.1149735695
2013-06-18,1056431.647995735
2013-06-19,1054227.79910731
2013-06-20,1049284.194898286
2013-06-21,1036759.7810679389
2013-06-24,1016676.9306786812
2013-06-25,1019874.2129457901
2013-06-26,1018277.248397438
2013-06-27,1028127.7788258825
2013-06-28,1042363.5528144276
2013-07-01,1055885.1402522011
2013-07-03,1046664.1130024873
2013-07-04,1054196.3199074888
2013-07-05,1061159.2905508482
2013-07-08,1062682.302200046
2013-07-09,1077698.7763962732
2013-07-10,1077566.7062518192
2013-07-11,1090374.969941667
2013-07-12,1103965.5779237591
2013-07-15,1110925.5669603846
2013-07-16,1107847.7271647814
2013-07-17,1130227.8961279741
2013-07-18,1135037.5472105814
2013-07-19,1122857.9644752147
2013-07-22,1126022.5859921784
2013-07-23,1135949.1547450873
2013-07-24,1134725.1516288114
2013-07-25,1114796.796523311
2013-07-26,1106480.1956737086
2013-07-29,1094978.445574534
2013-07-30,1078867.965076818
2013-07-31,1078889.6894669826
2013-08-01,1082659.5396705158
2013-08-05,1082895.8420608148
2013-08-06,1062709.5951667344
2013-08-07,1042534.108425277
2013-08-08,1040028.6729723852
2013-08-12,1064236.4078726762
2013-08-13,1072874.094444827
2013-08-14,1074991.9616802398
2013-08-16,1057699.6195152123
2013-08-19,1038316.8578045416
2013-08-20,1018955.6400896442
2013-08-21,1001437.2543159183
2013-08-22,1021661.6621673746
2013-08-23,1037432.0356170386
2013-08-26,1047391.1303348294
2013-08-27,1030239.8884504555
2013-08-28,1029090.9573062175
2013-08-29,1042490.2269028967
2013-08-30,1057489.836782269
2013-09-02,1064967.9632836734
2013-09-04,1079542.753865346
2013-09-05,1076679.1284116937
2013-09-06,1073625.1494335993
2013-09-10,1091376.1328775235
2013-09-11,1100894.5597947813
2013-09-12,1103157.4556435498
2013-09-13,1099283.3150568148
2013-09-16,1085961.521384237
2013-09-17,1089308.8542299524
2013-09-18,1101658.4211071006
2013-09-19,1107664.544775097
2013-09-20,1111087.6743575013
2013-09-23,1105559.5989619966
2013-09-24,1111290.3024701176
2013-09-25,1113313.119192919
2013-09-26,1117997.915692454
2013-09-27,1130661.4856395882
2013-09-30,1148815.6008818247
2013-10-01,1153112.0287863424
2013-10-04,1151455.0482599551
2013-10-07,1165345.4498714104
2013-10-08,1169060.7750184182
2013-10-09,1183651.4453270002
2013-10-10,1180087.4022547833
2013-10-11,1184345.5891477235
2013-10-14,1195063.83673165
2013-10-15,1189684.5299005774
2013-10-17,1172086.6411402305
2013-10-18,1192376.9164396345
2013-10-21,1185736.5567743056
2013-10-22,1199484.1783785804
2013-10-23,1207825.7282666292
2013-10-24,1196353.0992237874
2013-10-25,1202054.642368566
2013-10-28,1194216.7455461344
2013-10-29,1206214.0784077966
2013-10-30,1218318.6057469554
2013-10-31,1214946.2982987247
2013-11-01,1219374.6109063057
2013-11-06,1221555.8403214598
2013-11-07,1227790.901156141
2013-11-08,1226314.2189792881
2013-11-11,1209159.7935756762
2013-11-12,1217654.8219844236
2013-11-13,1211561.4599373948
2013-11-14,1209455.4276366474
2013-11-18,1217397.1077514533
2013-11-19,1215976.2390877989
2013-11-20,1206155.4355398195
2013-11-21,1186619.063122318
2013-11-22,1182156.4867889541
2013-11-25,1187550.5629967335
2013-11-26,1185827.5068425916
2013-11-27,1186027.4690938229
2013-11-28,1186690.8794826977
2013-11-29,1191602.7647223456
2013-12-02,1219614.8207726981
2013-12-04,1207401.8758380248
2013-12-05,1195931.5325277033
2013-12-06,1196976.9717743641
2013-12-09,1199459.781527814
2013-12-10,1202378.5087393145
2013-12-11,1210421.1762849786
2013-12-12,1204275.073381405
2013-12-13,1204835.7425341757
2013-12-16,1203075.9008357245
2013-12-17,1207429.3373596813
2013-12-18,1219507.6596736563
2013-12-19,1227333.808111599
2013-12-20,1243815.5626186072
2013-12-23,1238817.4669360374
2013-12-24,1241875.1521242263
2013-12-26,1242133.7074572775
2013-12-27,1248603.386224399
2013-12-30,1246727.3809987626
2013-12-31,1247204.3050297105
2014-01-01,1247842.6725625696
2014-01-03,1249377.5002597207
2014-01-06,1246810.9204002998
2014-01-07,1243620.3120932411
2014-01-08,1251842.708304367
2014-01-09,1254956.2229683916
2014-01-10,1260360.9461321514
2014-01-13,1268242.9770799833
2014-01-14,1267529.828106878
2014-01-15,1264399.218855551
2014-01-16,1269944.0586710004
2014-01-17,1256553.8215101599
2014-01-20,1272722.8250746145
2014-01-21,1273573.2145658033
2014-01-22,1274327.4653120118
2014-01-23,1270949.8948376945
2014-01-24,1258000.64654626
2014-01-27,1244779.1009813675
2014-01-28,1242122.6259132947
2014-01-29,1244454.5683582723
2014-01-30,1235428.0734477332
2014-01-31,1247567.9042395002
2014-02-03,1239271.6588481495
2014-02-05,1239290.9606296276
2014-02-06,1247068.21264514
2014-02-07,1250013.4377647606
2014-02-10,1256838.2340882528
2014-02-11,1263154.7655776409
2014-02-12,1268933.0334597572
2014-02-13,1273374.337094426
2014-02-14,1277030.6792653864
2014-02-17,1276407.9725785127
2014-02-18,1278912.2404796015
2014-02-19,1282867.6493014514
2014-02-20,1278090.8342898025
2014-02-21,1286795.6407459702
2014-02-24,1283391.3370036404
2014-02-25,1289010.1317764584
2014-02-26,1292640.0005825644
2014-02-28,1296315.7544183014
2014-03-03,1273577.1418851025
2014-03-05,1282642.4058321686
2014-03-06,1288344.0558595099
2014-03-07,1277445.7286397049
2014-03-10,1270090.5940718553
2014-03-11,1268207.9528109496
2014-03-12,1269265.8776910726
2014-03-13,1270355.112353126
2014-03-14,1267385.9958746135
2014-03-18,1269503.6644593694
2014-03-19,1272078.972934226
2014-03-20,1271895.486963669
2014-03-21,1275613.9838887157
2014-03-24,1271753.3024102733
2014-03-25,1271796.679026863
2014-03-26,1258374.1502197692
2014-03-27,1256539.7254697827
2014-03-28,1265862.005552363
2014-03-31,1267014.1665268033
2014-04-01,1274413.5023789175
2014-04-03,1271394.3508191123
2014-04-04,1264317.9283606743
2014-04-07,1261353.5849847998
2014-04-09,1267560.7519831501
2014-04-10,1279199.572047956
2014-04-11,1272762.2498821851
2014-04-15,1267575.385763534
2014-04-16,1266818.266524454
2014-04-17,1266583.016426464
2014-04-21,1277836.965103763
2014-04-22,1287229.9780202655
2014-04-23,1296551.322322364
2014-04-24,1296551.322322364
2014-04-25,1288909.1737472785
2014-04-28,1288097.2736646645
2014-04-29,1286375.5773220614
2014-04-30,1288197.9683391433
2014-05-02,1293475.696143297
2014-05-06,1290238.7645959838
2014-05-07,1281946.6739403452
2014-05-08,1282304.1495951782
2014-05-09,1296201.9422525524
2014-05-12,1304006.1028257774
2014-05-13,1327033.2314641278
2014-05-14,1327878.391083271
2014-05-15,1318999.0064979189
2014-05-16,1322840.572416136
2014-05-19,1320923.9837788797
2014-05-20,1334679.3799114744
2014-05-21,1360820.5553870406
2014-05-22,1364357.5590208073
2014-05-23,1380316.9039462307
2014-05-26,1365986.0971820732
2014-05-27,1363133.3925015498
2014-05-28,1362136.6183146064
2014-05-29,1351688.3798701528
2014-05-30,1352353.841427619
2014-06-02,1366255.917124637
2014-06-04,1364424.5812707555
2014-06-05,1374645.9185853014
2014-06-06,1382917.273498653
2014-06-09,1393546.5526442828
2014-06-10,1391813.5652820247
2014-06-11,1393733.868827655
2014-06-12,1396948.6583141165
2014-06-13,1389455.941651945
2014-06-16,1388526.5759749543
2014-06-17,1394847.578028299
2014-06-18,1393072.586936351
2014-06-19,1386093.129111292
2014-06-20,1378053.0767357561
2014-06-23,1378370.5172454084
2014-06-24,1384989.58418633
2014-06-25,1389432.7635965922
2014-06-26,1393783.6162702434
2014-06-27,1415088.328451901
2014-06-30,1438264.197841627
2014-07-01,1435877.5876443025
2014-07-03,1451189.3086325347
2014-07-04,1457152.974101149
2014-07-07,1453557.6182005566
2014-07-08,1424991.701217062
2014-07-09,1411282.8153425262
2014-07-10,1404549.7030385726
2014-07-11,1396939.2863059393
2014-07-14,1403699.789290517
2014-07-15,1424535.5588152786
2014-07-16,1438205.5379918388
2014-07-17,1451414.069066078
2014-07-18,1447969.6810559842
2014-07-21,1449791.5690496836
2014-07-22,1450704.0327058733
2014-07-23,1455114.3280980033
2014-07-24,1456931.6479543853
2014-07-25,1459533.7919537127
2014-07-28,1457162.3867185356
2014-07-30,1454153.8998172553
2014-07-31,1452909.0446416216
2014-08-01,1443273.6511292583
2014-08-05,1451037.5027220584
2014-08-06,1450980.311199894
2014-08-07,1450802.9605301782
2014-08-08,1440401.701083801
2014-08-11,1449935.1456000293
2014-08-12,1472618.1205545233
2014-08-13,1502524.0459162556
2014-08-14,1503186.4002116288
2014-08-18,1519102.9954555205
2014-08-19,1526017.7185621557
2014-08-20,1527753.6153916884
2014-08-21,1528844.6832780389
2014-08-22,1535218.7849902296
2014-08-25,1529382.4455724116
2014-08-26,1536452.0785338352
2014-08-27,1533785.5909111465
2014-08-28,1528678.1699504368
2014-09-01,1551666.0598574567
2014-09-03,1584818.5329401814
2014-09-04,1577835.336611385
2014-09-05,1574238.3324441842
2014-09-08,1596017.6842550377
2014-09-09,1594024.178381748
2014-09-10,1594496.3834223696
2014-09-11,1615822.5340575124
2014-09-12,1638029.5449804112
2014-09-15,1654170.8347248004
2014-09-16,1616106.4155343757
2014-09-17,1618059.0857806732
2014-09-18,1648527.169801564
2014-09-19,1648572.142351048
2014-09-22,1648467.9042001094
2014-09-23,1628421.307944695
2014-09-24,1634271.6128015758
2014-09-25,1632189.2612837877
2014-09-26,1635054.9524924878
2014-09-29,1637000.4766623774
2014-09-30,1663027.7222075553
2014-10-01,1653473.774717889
2014-10-08,1636443.7392542276
2014-10-09,1639069.4178274346
2014-10-10,1623517.7162999557
2014-10-13,1620855.9122459248
