date,portfolio_value
2013-01-03,1004429.7795703672
2013-01-04,1004342.2678073029
2013-01-07,1005892.4642386137
2013-01-08,1001200.8627745946
2013-01-09,991601.6278831885
2013-01-10,991555.3961896882
2013-01-11,981891.2512022574
2013-01-14,981840.4848189075
2013-01-15,986813.2315183821
2013-01-16,976057.7364984221
2013-01-17,973771.2610577501
2013-01-18,972434.3319754036
2013-01-21,976154.9826182629
2013-01-22,985654.4656312134
2013-01-23,982254.9905090688
2013-01-24,976558.5004070235
2013-01-25,975782.1549633647
2013-01-28,970665.9947780574
2013-01-29,974280.5223594301
2013-01-30,983356.754779951
2013-01-31,990146.1513963221
2013-02-01,988942.0551284477
2013-02-05,980010.5051383439
2013-02-06,979429.6618774785
2013-02-07,974969.2397758168
2013-02-08,962706.4296244526
2013-02-11,959356.7610628362
2013-02-12,957137.686249252
2013-02-13,952016.2524007516
2013-02-14,954173.2840041887
2013-02-15,950960.6951760869
2013-02-18,949448.1585291222
2013-02-19,963681.6697737615
2013-02-20,970817.962047155
2013-02-21,961303.8481836645
2013-02-22,956075.1877703901
2013-02-25,958892.6139056706
2013-02-26,946297.62620519
2013-02-27,949982.4435510874
2013-02-28,937419.4800778303
2013-03-01,947974.7809006552
2013-03-05,955553.8015595163
2013-03-06,952184.5174087205
2013-03-07,965665.9556070942
2013-03-08,980313.8909566335
2013-03-11,983542.7872067929
2013-03-12,979440.6942528256
2013-03-13,981227.8679925757
2013-03-14,988491.5939273621
2013-03-15,991420.6188117199
2013-03-18,989634.7217932561
2013-03-19,982252.1242582974
2013-03-20,980385.6646860626
2013-03-21,973120.2277911181
2013-03-22,965631.0622399574
2013-03-25,959473.0462741704
2013-03-26,959668.2892301026
2013-03-28,971341.9865409767
2013-04-01,970084.1654655392
2013-04-03,969347.5118337183
2013-04-04,953423.2384248318
2013-04-05,947762.7075728585
2013-04-08,942741.8814921868
2013-04-09,933557.7765806207
2013-04-10,936541.7120993205
2013-04-11,942786.7621644249
2013-04-12,948225.2695172159
2013-04-15,947322.9074838968
2013-04-16,959133.5711606973
2013-04-17,963751.7938081861
2013-04-18,964905.8280559551
2013-04-22,971835.7649536966
2013-04-23,977783.8670783945
2013-04-25,987369.999769397
2013-04-26,976484.7591609679
2013-04-29,978331.0611625577
2013-04-30,986885.0745062036
2013-05-02,1002811.7967597441
2013-05-06,1011718.2698393211
2013-05-07,1024265.2767749378
2013-05-08,1033272.5188215515
2013-05-09,1020886.084503436
2013-05-10,1024200.7848891676
2013-05-13,1013021.2464468663
2013-05-14,1020197.6317422249
2013-05-15,1036812.1017841424
2013-05-16,1044279.1206120423
