date,portfolio_value
2013-01-03,1000799.761940941
2013-01-04,1001018.3747291144
2013-01-07,1001159.4022583759
2013-01-08,1001186.2604198955
2013-01-09,999239.5340091247
2013-01-10,999003.8287837511
2013-01-11,995912.4460093041
2013-01-14,996348.5754907795
2013-01-15,997241.6364797464
2013-01-16,995283.7553199675
2013-01-17,994774.4339087671
2013-01-18,994259.8316768353
2013-01-21,994812.5028698508
2013-01-22,995884.0708614592
2013-01-23,994837.3662644052
2013-01-24,993481.1619048713
2013-01-25,994293.9015159702
2013-01-28,993244.2286237517
2013-01-29,994020.3943796601
2013-01-30,996393.0724465655
2013-01-31,997835.0812963907
2013-02-01,997894.9331233237
2013-02-05,997498.0804684389
2013-02-06,997238.2390373478
2013-02-07,996295.1039266429
2013-02-08,992671.6391007972
2013-02-11,993443.0798741454
2013-02-12,994491.3825308515
2013-02-13,993461.5789673465
2013-02-14,993108.4952450161
2013-02-15,992133.0159379089
2013-02-18,991253.5240495335
2013-02-19,994238.9322426297
2013-02-20,994866.9645940849
2013-02-21,993231.3410414134
2013-02-22,992380.3931265206
2013-02-25,991983.3863647117
2013-02-26,988022.0003628866
2013-02-27,989157.1757866779
2013-02-28,987191.1211666991
2013-03-01,989298.2405782664
2013-03-05,991540.8502852285
2013-03-06,991038.7004163763
2013-03-07,993096.2009180149
2013-03-08,996620.7240707494
2013-03-11,997021.0845827434
2013-03-12,996371.1348718755
2013-03-13,996235.375992747
2013-03-14,997448.8671491486
2013-03-15,997876.8201154855
2013-03-18,997550.326507198
2013-03-19,995195.63020853
2013-03-20,994870.3227856247
2013-03-21,993662.6114189813
2013-03-22,992437.0220735818
2013-03-25,991136.4122240602
2013-03-26,991267.968146223
2013-03-28,993605.0066176001
2013-04-01,994239.2144902683
2013-04-03,993488.2331774695
2013-04-04,989773.3200110155
2013-04-05,989414.322831137
2013-04-08,989337.2686390914
2013-04-09,987397.103039935
2013-04-10,987964.5449640001
2013-04-11,989524.163490659
2013-04-12,990022.3512242939
2013-04-15,990475.2813407925
2013-04-16,994196.4994657756
2013-04-17,995433.0594151864
2013-04-18,996483.6307114059
2013-04-22,997727.1942755397
2013-04-23,997808.3312211345
2013-04-25,1000858.8219739695
2013-04-26,999562.1745795863
2013-04-29,1000797.944109563
2013-04-30,1004885.6842474119
2013-05-02,1006523.9949143713
2013-05-06,1008510.0764585212
2013-05-07,1010547.5028102292
2013-05-08,1012177.0221822977
2013-05-09,1010191.1886396842
2013-05-10,1010571.0815419906
2013-05-13,1008204.7052214564
2013-05-14,1010780.0256054014
