date,portfolio_value
2020-06-03,1007390.644765979
2020-06-04,1011773.4188011141
2020-06-05,1012504.858421128
2020-06-08,991912.6911105183
2020-06-09,996542.7672294547
2020-06-10,995962.7513145489
2020-06-11,977265.9236423306
2020-06-12,988137.490012075
2020-06-15,973208.9134380171
2020-06-16,971011.7996916118
2020-06-17,971153.5628899134
2020-06-18,984205.8957827078
2020-06-19,983733.3111696442
2020-06-22,995293.0547633957
2020-06-23,1005808.6014108442
2020-06-24,1009865.003384618
2020-06-25,1020419.1186984477
2020-06-26,1017110.6698411081
2020-06-29,1022804.8850299824
2020-06-30,1026353.0632353248
2020-07-01,1028893.4334692041
2020-07-03,1037559.5806206261
2020-07-06,1082164.6263089927
2020-07-07,1094838.810819011
2020-07-08,1071399.5888140288
2020-07-09,1086559.2082824272
2020-07-10,1090015.0157327359
2020-07-13,1093546.6733408333
2020-07-14,1073028.777845056
2020-07-15,1064217.8804753239
2020-07-16,1084823.1078861752
2020-07-17,1115316.1529550494
2020-07-20,1141105.272827679
2020-07-21,1137737.2666612088
2020-07-22,1129822.3672784145
2020-07-23,1148688.5940933176
2020-07-24,1151849.3839088986
2020-07-27,1143989.4618342363
2020-07-28,1174668.6745344666
2020-07-29,1156439.6633139425
2020-07-30,1143930.5987866805
2020-07-31,1139986.3498233804
2020-08-03,1117270.3979298072
2020-08-05,1115938.9921423027
2020-08-06,1128359.389369677
2020-08-07,1114296.1948273843
2020-08-10,1120970.7915998553
2020-08-11,1118731.7475209567
2020-08-12,1128617.550148027
2020-08-13,1128475.111074822
2020-08-14,1119007.664166116
2020-08-17,1129615.7336823347
2020-08-18,1129433.0987132916
2020-08-19,1117965.3835408418
2020-08-20,1109939.1022116444
2020-08-21,1104885.4772500265
2020-08-24,1100575.3228328556
2020-08-25,1093836.115289846
2020-08-26,1119015.3356800647
2020-08-27,1120032.7774510994
2020-08-28,1117327.9702809434
2020-08-31,1103016.6382165381
2020-09-01,1098616.2573437975
2020-09-03,1091355.8001614173
2020-09-04,1064682.3524120443
2020-09-07,1062102.033097515
2020-09-08,1045491.112475442
2020-09-09,1057539.4430061742
2020-09-10,1081506.312873168
2020-09-11,1081879.861271235
2020-09-14,1081837.4459877347
2020-09-15,1089172.4831401838
2020-09-16,1091924.7486399547
2020-09-17,1084595.397129578
2020-09-18,1084055.1634960885
2020-09-21,1025804.19129856
2020-09-22,1018481.854336715
2020-09-23,1006828.0640187501
2020-09-24,963135.9369577493
2020-09-25,1000287.9153383343
2020-09-28,1048800.8581617824
2020-09-29,1053302.2678093817
2020-09-30,1040761.3950992682
2020-10-01,1088395.8757766478
2020-10-06,1088336.892655787
2020-10-07,1094812.146585089
2020-10-08,1104746.4060236916
2020-10-09,1105216.9124931062
2020-10-12,1113736.9408668599
2020-10-13,1117854.5971873438
2020-10-14,1109155.185714161
2020-10-15,1084872.1802438616
2020-10-16,1079200.3614722856
2020-10-19,1092685.3540534123
2020-10-20,1108958.0009755332
2020-10-21,1088523.3834644938
2020-10-22,1080450.0112785122
2020-10-23,1075938.8320109842
2020-10-26,1062512.6642437875
2020-10-27,1083146.8118657093
2020-10-28,1068734.8148869157
2020-10-29,1080875.2010109592
2020-10-30,1091797.9196411166
2020-11-02,1078451.4216012217
2020-11-04,1094608.4744783777
2020-11-05,1118742.3604631932
2020-11-06,1127590.9406298345
2020-11-09,1138575.7006583088
2020-11-10,1147187.7991582982
2020-11-11,1160623.789672718
2020-11-12,1148500.3614287442
2020-11-13,1156859.0064727967
2020-11-14,1159312.688273745
2020-11-17,1176872.2289095114
2020-11-18,1193827.2552662522
2020-11-19,1182181.2337598384
2020-11-20,1201950.3940734116
2020-11-23,1231608.9103496983
2020-11-24,1246884.5315324666
2020-11-25,1228070.133876609
2020-11-26,1233142.2696467654
2020-11-27,1245629.548451407
2020-12-01,1252529.8496442107
2020-12-03,1273487.38642902
2020-12-04,1263029.5424119362
2020-12-07,1277159.600049077
2020-12-08,1271916.2812392921
2020-12-09,1272276.6158522458
2020-12-10,1266704.430687131
2020-12-11,1272527.5210048067
2020-12-14,1284728.6292594983
2020-12-15,1321668.9469130908
2020-12-16,1319962.6419127006
2020-12-17,1318603.455289222
2020-12-18,1302458.2541070732
2020-12-21,1237679.3233932098
2020-12-22,1237352.1028649563
2020-12-23,1262526.5499651956
2020-12-24,1279864.679671555
2020-12-28,1294823.6303316324
2020-12-29,1299515.6078582504
2020-12-30,1310511.1441479388
2020-12-31,1309935.1366630031
2021-01-01,1316822.0963429837
2021-01-05,1330067.8950554978
2021-01-06,1313066.1488422651
2021-01-07,1348439.1260073688
2021-01-08,1365914.9368490884
2021-01-11,1364819.817934254
2021-01-12,1373966.268364969
2021-01-13,1392383.2035752553
2021-01-14,1389243.5517547987
2021-01-15,1375498.785525282
2021-01-18,1312877.5859468647
2021-01-19,1354057.6919262612
2021-01-20,1371421.4071288172
2021-01-21,1348234.9441581275
2021-01-22,1321352.303254873
2021-01-25,1310344.7785034128
2021-01-27,1305178.7324584324
2021-01-28,1296078.0526290038
2021-01-29,1276446.9161114306
2021-02-01,1336462.5392736937
2021-02-03,1353338.6625881798
2021-02-04,1352472.360391811
2021-02-05,1347391.1650445878
2021-02-08,1373437.6962596793
2021-02-09,1366905.854751419
