date,portfolio_value
2020-06-03,1001214.4720788525
2020-06-04,1012855.9141337363
2020-06-05,1019259.0155386114
2020-06-08,1013580.0582168144
2020-06-09,1014140.147039188
2020-06-10,1011563.7071697357
2020-06-11,1001137.5063739767
2020-06-12,995024.9128237577
2020-06-15,982695.489082657
2020-06-16,980009.9459088857
2020-06-17,971796.5661131338
2020-06-18,988460.120789695
2020-06-19,997604.4740615116
2020-06-22,1021173.1996844893
2020-06-23,1044581.7711377825
2020-06-24,1023573.6197440275
2020-06-25,1019740.3103846707
2020-06-26,1025761.8612549969
2020-06-29,1017914.4783313907
2020-06-30,1009794.4395924889
2020-07-01,1001176.4669605207
2020-07-03,1007790.0815957315
2020-07-06,1010858.2711041474
2020-07-07,1006320.8914012247
2020-07-08,995626.7823486734
2020-07-09,999010.9261478289
2020-07-10,1002281.7636138855
2020-07-13,1001989.4019251432
2020-07-14,987234.130993467
2020-07-15,996252.7147567964
2020-07-16,1007088.0572995773
2020-07-17,1014177.1510109247
2020-07-20,1016076.1483149895
2020-07-21,1026083.2698707294
2020-07-22,1029561.7922059471
2020-07-23,1044836.8227640358
2020-07-24,1038659.4126998294
2020-07-27,1036839.4334979315
2020-07-28,1045626.1441182572
2020-07-29,1054903.3979900654
2020-07-30,1058525.5874901132
2020-07-31,1068062.2157042185
2020-08-03,1064251.75246999
2020-08-05,1064058.570338796
2020-08-06,1071058.6485006055
2020-08-07,1076644.8778520776
2020-08-10,1100216.7829508618
2020-08-11,1095987.2591546504
2020-08-12,1090956.9940553564
2020-08-13,1088774.214172001
2020-08-14,1083884.1887477178
2020-08-17,1097868.0335069264
2020-08-18,1100544.427269921
2020-08-19,1095432.4148069588
2020-08-20,1101704.2688260528
2020-08-21,1121166.8837732542
2020-08-24,1114639.1345491495
2020-08-25,1112552.4372870552
2020-08-26,1112703.6100009175
2020-08-27,1114782.3774723697
2020-08-28,1108034.2552712495
2020-08-31,1078506.2661075923
2020-09-01,1096785.8163967778
2020-09-03,1103686.9196760098
2020-09-04,1083993.6384225176
2020-09-07,1090019.3236982264
2020-09-08,1079632.2914681414
2020-09-09,1084187.4894048471
2020-09-10,1088969.8025907364
2020-09-11,1086268.9290156597
2020-09-14,1085393.4933069374
2020-09-15,1092986.1036446623
2020-09-16,1101107.6414254734
2020-09-17,1097922.8112648986
2020-09-18,1126435.8441712232
2020-09-21,1098432.75558716
2020-09-22,1094793.9956227809
2020-09-23,1081128.912459259
2020-09-24,1049003.3971145623
2020-09-25,1074143.240322988
2020-09-28,1092307.2740341802
2020-09-29,1081944.009726767
2020-09-30,1087110.6341660735
2020-10-01,1094357.3520359097
2020-10-06,1096455.4351481781
2020-10-07,1091368.3805120229
2020-10-08,1105901.7941808621
2020-10-09,1101305.624591048
2020-10-12,1112787.7557454612
2020-10-13,1105274.3582522115
2020-10-14,1095703.5481210193
2020-10-15,1084538.8746431568
2020-10-16,1086666.8383946926
2020-10-19,1091453.545322914
2020-10-20,1091561.001414883
2020-10-21,1099001.2691374645
2020-10-22,1097015.4787472787
2020-10-23,1106763.9727536573
2020-10-26,1102713.3978363946
2020-10-27,1117002.384172879
2020-10-28,1107516.8554308799
2020-10-29,1104801.3605500998
2020-10-30,1109220.5893907042
2020-11-02,1106471.8501583932
2020-11-04,1111182.1394351877
2020-11-05,1132143.4578306295
2020-11-06,1129141.4923407715
2020-11-09,1140252.5131798482
2020-11-10,1122875.8997959206
2020-11-11,1142240.2510259969
2020-11-12,1139430.243239546
2020-11-13,1145923.4821621417
2020-11-14,1149443.3504261433
2020-11-17,1147967.1701092015
2020-11-18,1139816.5473870258
2020-11-19,1144778.2373574772
2020-11-20,1154147.865512401
2020-11-23,1172703.973659137
2020-11-24,1179989.7888380708
2020-11-25,1165631.5021344165
2020-11-26,1175790.5600511795
2020-11-27,1171375.1444166673
2020-12-01,1178794.9740879976
2020-12-03,1186771.4661590515
2020-12-04,1197743.8885107338
2020-12-07,1209363.8107454267
2020-12-08,1203722.4304802518
2020-12-09,1212577.719871559
2020-12-10,1220863.0183249796
2020-12-11,1224792.0685483126
2020-12-14,1237419.3596045894
2020-12-15,1227577.623171927
2020-12-16,1242787.64253409
2020-12-17,1242755.739884432
2020-12-18,1250825.4236470677
2020-12-21,1213100.0740623113
2020-12-22,1236075.419121021
2020-12-23,1250933.3425148758
2020-12-24,1254742.870752071
2020-12-28,1260367.447014722
2020-12-29,1254061.4620506372
2020-12-30,1257027.3332374142
2020-12-31,1255072.8382968772
2021-01-01,1262806.9030182387
2021-01-05,1268601.9160963849
2021-01-06,1271197.047158525
2021-01-07,1265946.518160716
2021-01-08,1292485.476162032
2021-01-11,1306184.3734425048
2021-01-12,1301895.1522246315
2021-01-13,1301968.9730507485
2021-01-14,1309814.853655262
2021-01-15,1292570.5462617287
2021-01-18,1269016.664116497
2021-01-19,1285946.0116185478
2021-01-20,1287701.026605926
2021-01-21,1277275.089958548
2021-01-22,1268324.5224106181
2021-01-25,1260038.2094622205
2021-01-27,1253029.938859653
2021-01-28,1235008.8717876193
2021-01-29,1211041.919181096
2021-02-01,1222850.7156054673
2021-02-03,1249269.3138642434
2021-02-04,1255371.9340186277
2021-02-05,1259368.0460170794
2021-02-08,1270806.906824067
2021-02-09,1265428.4518335068
2021-02-10,1266024.67640334
2021-02-11,1269864.0145875572
2021-02-12,1255205.0376598327
2021-02-15,1249754.4590846375
2021-02-16,1258504.0841006476
2021-02-17,1248466.062955306
2021-02-18,1253855.9757992062
2021-02-19,1244815.8734064405
2021-02-22,1215482.281073075
2021-02-23,1219989.9956832011
2021-02-24,1223034.461800369
2021-02-25,1240261.053973036
2021-02-26,1204957.5968470299
2021-03-01,1229348.1746820156
2021-03-03,1240258.1351686197
2021-03-04,1236181.596853586
2021-03-05,1226173.409901033
2021-03-08,1229230.5643268519
2021-03-09,1228415.8152295842
2021-03-10,1236807.8728765843
2021-03-12,1230457.6527677907
2021-03-15,1233788.0615152372
2021-03-16,1241188.0665405197
2021-03-17,1224220.4891283435
2021-03-18,1213392.0637497918
2021-03-19,1233596.5421528735
2021-03-22,1241891.438491783
2021-03-23,1238383.8153636497
2021-03-24,1231733.3475925291
2021-03-25,1207934.926632901
2021-03-26,1221158.855692305
2021-03-30,1257598.211738516
2021-03-31,1252523.4128128316
2021-04-01,1257589.288978193
2021-04-06,1265151.6128727135
2021-04-07,1276376.420663298
2021-04-08,1281553.174618281
2021-04-09,1288292.2008129037
2021-04-12,1271364.043991991
2021-04-13,1266658.3717233024
2021-04-15,1272986.9804259094
2021-04-16,1285317.9758958912
2021-04-19,1267790.1633245405
2021-04-20,1269105.3963669944
2021-04-22,1263853.5805461393
2021-04-23,1261688.4357058895
2021-04-26,1267785.5186727121
2021-04-27,1273614.7814589532
2021-04-28,1281440.939146125
2021-04-29,1277808.1670967694
2021-04-30,1268947.615583272
2021-05-03,1274938.053026153
2021-05-05,1283024.73190239
2021-05-06,1285617.418285949
2021-05-07,1290494.1358274478
2021-05-10,1309993.1764624072
2021-05-11,1313814.2981357449
2021-05-12,1308808.190684106
2021-05-14,1320338.505676328
2021-05-17,1320294.124814328
2021-05-18,1327126.548915528
2021-05-19,1334321.816496944
2021-05-20,1322505.9606178121
2021-05-21,1330255.400505991
2021-05-24,1334302.638977872
2021-05-25,1344563.8754114127
2021-05-26,1341882.9235649565
2021-05-27,1344524.6498941814
2021-05-28,1338321.9363702978
2021-05-31,1352187.7542795497
2021-06-01,1349885.562213675
2021-06-03,1352858.224635907
2021-06-04,1348950.2494569798
2021-06-07,1363603.8491868612
2021-06-08,1369168.2402988968
2021-06-09,1373835.9345096266
2021-06-10,1381768.4681201894
2021-06-11,1393828.1569279777
2021-06-14,1396176.0188633483
2021-06-15,1396844.933889859
2021-06-16,1393097.6021795084
2021-06-17,1386773.1634250751
2021-06-18,1376663.8359817893
2021-06-21,1379575.03752819
2021-06-22,1377709.756008072
2021-06-23,1372205.9574896905
2021-06-24,1377682.7115034556
2021-06-25,1378934.5404852945
2021-06-28,1378596.163143702
2021-06-29,1384536.6402018196
2021-06-30,1380134.139407745
2021-07-01,1381783.892159346
2021-07-05,1385957.4037990016
2021-07-06,1376711.448982702
2021-07-07,1383836.2014435865
2021-07-08,1373335.0289311518
2021-07-09,1371053.7144829545
2021-07-12,1368223.452437898
2021-07-13,1369732.2875002709
2021-07-14,1372005.5884455277
2021-07-15,1371652.2389650773
2021-07-16,1375292.2572117469
2021-07-19,1371491.5751857392
2021-07-20,1368041.8021733398
2021-07-22,1371169.4539546685
2021-07-23,1374513.349655302
2021-07-26,1372193.0086416001
2021-07-27,1350047.755397583
2021-07-28,1341498.0556916955
2021-07-29,1329181.825783175
2021-07-30,1336756.0411436118
2021-08-02,1344614.1772115545
2021-08-04,1344069.82633791
2021-08-05,1354166.4333552558
2021-08-06,1349950.563131763
2021-08-09,1355060.6719295194
2021-08-10,1348817.4734185145
2021-08-11,1350802.7385839361
2021-08-12,1358859.4735493076
2021-08-13,1362031.3273973542
2021-08-16,1357022.655014698
2021-08-17,1372069.000208125
2021-08-18,1372320.830523364
2021-08-20,1379593.1568613283
2021-08-23,1381008.8027287056
2021-08-24,1383962.23902966
2021-08-25,1387768.4928565875
2021-08-26,1384291.641515142
2021-08-27,1394401.8854520828
2021-08-30,1405829.8243212418
2021-08-31,1423180.2629277266
2021-09-01,1422974.2202153439
2021-09-03,1426809.748271413
2021-09-06,1426499.5958757196
2021-09-07,1427364.4969754824
2021-09-08,1424454.2310224974
2021-09-09,1432896.599083978
2021-09-13,1440879.9038111093
2021-09-14,1442319.0922435601
2021-09-15,1455036.3372454084
