date,portfolio_value
2013-01-03,997522.2504324497
2013-01-04,997547.3234551726
2013-01-07,1000006.4680705103
2013-01-08,1005472.6475948887
2013-01-09,996774.5360783053
2013-01-10,992989.7423070532
2013-01-11,979748.6622454104
2013-01-14,980413.0525975866
2013-01-15,986695.9721732842
2013-01-16,978071.9159433902
2013-01-17,976312.5705294535
2013-01-18,978243.8640260258
2013-01-21,978924.4967366959
2013-01-22,985136.0512151867
2013-01-23,985930.8323015579
2013-01-24,980047.4754668219
2013-01-25,989282.6865483763
2013-01-28,987142.9400844096
2013-01-29,986170.6688954271
2013-01-30,993344.5186611814
2013-01-31,999555.4765669248
2013-02-01,1002803.1172219915
2013-02-05,1003771.3714087919
2013-02-06,1005876.248292706
2013-02-07,1002843.0371550058
2013-02-08,988449.5983126867
2013-02-11,990721.9636999058
2013-02-12,998245.3463038433
2013-02-13,995441.4302501357
2013-02-14,991628.1953599317
2013-02-15,986507.1016438858
2013-02-18,982040.6153069547
2013-02-19,996016.0570365065
2013-02-20,998267.7040340245
2013-02-21,989263.8738108606
2013-02-22,988718.0321549979
2013-02-25,987137.9592064794
2013-02-26,969954.5536676429
2013-02-27,974646.1996683294
2013-02-28,967699.0642985412
2013-03-01,973557.9383470768
2013-03-05,986254.0520385648
2013-03-06,983130.0641043644
2013-03-07,992099.1993388707
2013-03-08,1004666.0890825462
2013-03-11,1006571.5710627593
2013-03-12,1003078.0135980324
2013-03-13,1000490.5007156188
2013-03-14,1004059.8009821477
2013-03-15,1004359.57246029
2013-03-18,1004003.7755025986
2013-03-19,993961.5968776371
2013-03-20,990644.286480396
2013-03-21,983492.3986037059
2013-03-22,984135.8064836218
2013-03-25,980670.9414873519
2013-03-26,983028.7548996735
2013-03-28,991333.0198227683
2013-04-01,991977.7739023335
2013-04-03,990498.0434072344
2013-04-04,985431.706117925
2013-04-05,985829.6974698754
2013-04-08,985198.1419456106
2013-04-09,981912.7538308675
2013-04-10,982072.143403357
2013-04-11,983961.8313401889
2013-04-12,983065.5845193572
2013-04-15,984187.4187863789
2013-04-16,987709.4169203541
2013-04-17,988878.3283530811
2013-04-18,990200.9945089215
2013-04-22,990017.8436953377
2013-04-23,990455.094278966
2013-04-25,992801.8595891887
2013-04-26,991490.4124231986
2013-04-29,993144.2638635604
2013-04-30,993792.7020145081
2013-05-02,996497.8124342954
2013-05-06,1005296.7975509273
2013-05-07,1014060.8733737513
2013-05-08,1020964.0843843947
2013-05-09,1012335.8663800634
2013-05-10,1016221.2540945162
2013-05-13,1010145.3067350294
2013-05-14,1019717.3874783523
2013-05-15,1039486.4170529768
2013-05-16,1051221.2538313363
2013-05-17,1050587.6044650895
2013-05-20,1038067.3403686654
2013-05-21,1024313.9777013757
2013-05-22,1027355.3482053381
2013-05-23,1022657.584232401
2013-05-24,1016654.4391051389
2013-05-27,1032272.9058004215
2013-05-28,1036976.2515344104
2013-05-29,1044611.0228386855
2013-05-30,1045723.207371734
2013-05-31,1031984.088415418
2013-06-03,1015280.4891485837
2013-06-05,1011705.0268434186
2013-06-06,1013801.2516661498
2013-06-07,1011816.8747860792
2013-06-10,1010432.1827614317
2013-06-11,999700.7565167517
2013-06-12,995384.2102750839
2013-06-13,984842.9806685204
2013-06-14,1001055.5866668674
2013-06-17,1001108.4206737401
2013-06-18,997616.4819465369
2013-06-19,995163.310233445
2013-06-20,988549.9691946139
2013-06-21,985787.8325084783
2013-06-24,970839.5640532798
2013-06-25,967439.7862659474
2013-06-26,969429.6756363125
2013-06-27,985304.6552339713
2013-06-28,999369.7883968231
2013-07-01,1017908.6762360983
2013-07-03,1004896.4642574366
2013-07-04,1014941.2710393143
2013-07-05,1023186.9358631636
2013-07-08,1021155.3736514935
2013-07-09,1030960.6334165665
2013-07-10,1030833.0143157613
2013-07-11,1043335.9828544414
2013-07-12,1048955.3456364297
2013-07-15,1055825.2525654123
2013-07-16,1058731.6679947576
2013-07-17,1082290.8938838518
2013-07-18,1093071.5186519718
2013-07-19,1089731.41836842
2013-07-22,1085549.859935986
