date,portfolio_value
2020-06-03,1006084.4835888091
2020-06-04,1008679.2792340372
2020-06-05,1020730.1709383876
2020-06-08,1024534.128747701
2020-06-09,1017017.2774489922
2020-06-10,1015802.2541456879
2020-06-11,998807.9096480996
2020-06-12,1005392.7781133536
2020-06-15,990789.3156905657
2020-06-16,992660.9608018959
2020-06-17,991464.234040574
2020-06-18,1005782.6036288032
2020-06-19,1016242.8050675063
2020-06-22,1029632.5571298293
2020-06-23,1050472.6787467252
2020-06-24,1033747.0888600342
2020-06-25,1032247.8194771749
2020-06-26,1039476.5979452041
2020-06-29,1030116.5201534725
2020-06-30,1030188.1304735437
2020-07-01,1031459.8284457512
2020-07-03,1039809.3694348653
2020-07-06,1053321.2751559915
2020-07-07,1054731.8849486297
2020-07-08,1047851.0135707926
2020-07-09,1054669.7808138824
2020-07-10,1051212.7200584302
2020-07-13,1057846.2304366136
2020-07-14,1041491.521161355
2020-07-15,1047466.21157739
2020-07-16,1059158.357750307
2020-07-17,1074331.585039092
2020-07-20,1083946.5361070915
2020-07-21,1091460.271507064
2020-07-22,1087273.9016110548
2020-07-23,1097641.9168431156
2020-07-24,1091021.214764509
2020-07-27,1089827.7380203186
2020-07-28,1109304.0144072468
2020-07-29,1113485.0345193625
2020-07-30,1108203.3534568152
2020-07-31,1112935.4765186645
2020-08-03,1102038.9712375165
2020-08-05,1109163.889279702
2020-08-06,1119697.7509089955
2020-08-07,1125860.7724964404
2020-08-10,1139167.781579081
2020-08-11,1139739.7715441997
2020-08-12,1139458.9285469046
2020-08-13,1144040.4604140772
2020-08-14,1133978.1285438468
2020-08-17,1149163.4995079492
2020-08-18,1161049.6301421127
2020-08-19,1162369.0557113057
2020-08-20,1160689.7959119873
2020-08-21,1168902.4179470288
2020-08-24,1171776.2315860444
2020-08-25,1176912.228908593
2020-08-26,1181309.1391322017
2020-08-27,1184151.99282328
2020-08-28,1189843.9748528954
2020-08-31,1156370.1994964357
2020-09-01,1170589.6518102149
2020-09-03,1176797.482770383
2020-09-04,1155587.8145277493
2020-09-07,1154335.8602635297
2020-09-08,1145271.2021374865
2020-09-09,1143224.3480751214
2020-09-10,1152598.1616340065
2020-09-11,1155759.6167431707
2020-09-14,1157861.770304075
2020-09-15,1163859.3967369355
2020-09-16,1172854.002165393
2020-09-17,1168267.8633267658
2020-09-18,1177714.1678499407
2020-09-21,1143247.6344700565
2020-09-22,1136187.8283469724
2020-09-23,1127206.7383680698
2020-09-24,1095341.508974537
2020-09-25,1124022.6527420236
2020-09-28,1147886.480210633
2020-09-29,1142483.3854277323
2020-09-30,1143711.8754940066
2020-10-01,1158641.834615954
2020-10-06,1166032.4654769471
2020-10-07,1168134.819849311
2020-10-08,1177911.1762972903
2020-10-09,1178811.6069915355
2020-10-12,1182349.4950943142
2020-10-13,1178791.880078699
2020-10-14,1179839.947055284
2020-10-15,1159164.4805178235
2020-10-16,1168956.7181116806
2020-10-19,1174943.3384166462
2020-10-20,1176555.7744855387
2020-10-21,1179711.321170377
2020-10-22,1179384.2074978256
2020-10-23,1184889.9042323057
2020-10-26,1169324.291197805
2020-10-27,1185632.3041973654
2020-10-28,1174522.6654670183
2020-10-29,1169148.7270356729
2020-10-30,1170534.5746168452
2020-11-02,1172428.426615083
2020-11-04,1182387.5850948363
2020-11-05,1207216.6810829954
