,weight
RELIANCE.NS,0.008794983178212815
TCS.NS,1.4208359801774342e-16
HDFCBANK.NS,0.011203650614320132
INFY.NS,3.278494426547925e-17
ICICIBANK.NS,1.63539703673901e-17
HINDUNILVR.NS,1.6234738784091484e-16
ITC.NS,1.6461778964295902e-16
SBIN.NS,6.941976897999022e-18
BHARTIARTL.NS,0.0702850173732079
KOTAKBANK.NS,0.05920034540301604
LT.NS,4.445110400064128e-18
AXISBANK.NS,0.01896386299573205
ASIANPAINT.NS,0.11897132369359104
MARUTI.NS,0.18291978400173967
TITAN.NS,0.03389550841335951
SUNPHARMA.NS,9.938192839889626e-17
ULTRACEMCO.NS,1.709057353012345e-16
NESTLEIND.NS,0.06199699265492329
BAJFINANCE.NS,2.0404789044734637e-17
WIPRO.NS,1.9162833018743877e-16
HCLTECH.NS,1.1591135252629276e-16
ADANIENT.NS,1.0195733742395392e-15
ONGC.NS,1.5720921534757905e-16
NTPC.NS,2.493760178858317e-16
POWERGRID.NS,2.6760253777729184e-16
TATASTEEL.NS,1.6171032007458659e-16
BAJAJFINSV.NS,2.3937962846602066e-17
M&M.NS,1.3071067118675188e-16
TECHM.NS,6.382498806444648e-17
COALINDIA.NS,2.9646322296782807e-17
HINDALCO.NS,0.03452500291204726
INDUSINDBK.NS,2.1587368619957482e-16
DRREDDY.NS,0.0
CIPLA.NS,7.227906820255275e-17
EICHERMOT.NS,0.05143414931446495
DIVISLAB.NS,4.130423181074006e-18
TATACONSUM.NS,3.6960237089819645e-17
GRASIM.NS,7.727794784475848e-17
JSWSTEEL.NS,0.0
APOLLOHOSP.NS,8.026328297249386e-17
HEROMOTOCO.NS,0.07080914613202322
BRITANNIA.NS,0.06933067262595873
SBILIFE.NS,0.10852433949592014
ADANIPORTS.NS,2.8597654936457806e-16
BPCL.NS,0.02157709044041044
HDFCLIFE.NS,6.665160107417123e-17
SHRIRAMFIN.NS,0.05862276771471953
LTIM.NS,0.01894536303634897
BAJAJ-AUTO.NS,1.654671389902488e-16
