,weight
HDFCLIFE.NS,-1.6020621216739327e-05
HINDALCO.NS,-1.6382704891481874e-05
LTIM.NS,-1.653021197753978e-05
WIPRO.NS,-1.658999124425978e-05
BPCL.NS,-1.635985715951857e-05
EICHERMOT.NS,-1.6247699793259244e-05
TATASTEEL.NS,0.07091199685825161
DIVISLAB.NS,-1.64531719533425e-05
RELIANCE.NS,-1.624542029717813e-05
TCS.NS,-1.6278945407136334e-05
ADANIENT.NS,0.24998361315850037
JSWSTEEL.NS,-1.626012298989142e-05
ONGC.NS,-1.6278828724541562e-05
INFY.NS,-1.6290552652150515e-05
HCLTECH.NS,-1.6392235033354055e-05
ASIANPAINT.NS,-1.6327745626984917e-05
HINDUNILVR.NS,-1.6345206317073255e-05
POWERGRID.NS,-1.6017137697949007e-05
INDUSINDBK.NS,-1.5456103720099555e-05
GRASIM.NS,-1.592500168041151e-05
HDFCBANK.NS,-1.5893058976430722e-05
BAJFINANCE.NS,-1.614073190814817e-05
NTPC.NS,-1.618497181328492e-05
LT.NS,-1.6137856302507324e-05
BHARTIARTL.NS,0.07032025502084742
MARUTI.NS,-1.6040622226877372e-05
ICICIBANK.NS,-1.5787715129158287e-05
SUNPHARMA.NS,-1.6203442057575333e-05
ULTRACEMCO.NS,-1.636273647904237e-05
CIPLA.NS,-1.626493353758784e-05
HEROMOTOCO.NS,-1.6186794698989632e-05
ITC.NS,-1.60714373676052e-05
TITAN.NS,-1.6250087357495978e-05
ADANIPORTS.NS,-1.6081694977954255e-05
SHRIRAMFIN.NS,0.12230746637630943
COALINDIA.NS,-1.6553613998096217e-05
TATACONSUM.NS,-1.6187295763709343e-05
SBILIFE.NS,-1.6286276272297533e-05
TECHM.NS,-1.656809565184082e-05
KOTAKBANK.NS,-1.5855237521080708e-05
DRREDDY.NS,-1.645183242104907e-05
SBIN.NS,-1.6101957626917316e-05
NESTLEIND.NS,-1.6387833293301244e-05
APOLLOHOSP.NS,0.237189635709164
BRITANNIA.NS,-1.6301903820582194e-05
BAJAJ-AUTO.NS,-1.5929386608619907e-05
BAJAJFINSV.NS,-1.622636586747807e-05
AXISBANK.NS,-1.5917852857432016e-05
M&M.NS,0.2499839158893003
