,weight
RELIANCE.NS,4.424900116456465e-18
TCS.NS,0.07101745017415893
HDFCBANK.NS,0.08935421647559481
INFY.NS,0.00027862604018086354
ICICIBANK.NS,0.08627876644513624
HINDUNILVR.NS,0.09503352653403323
ITC.NS,0.07082279178631048
SBIN.NS,0.002859291179172006
BHARTIARTL.NS,0.023893094792887766
KOTAKBANK.NS,0.031127477181442507
LT.NS,0.0
AXISBANK.NS,0.008722640241911411
ASIANPAINT.NS,0.036038679825282575
MARUTI.NS,0.04749670385085867
TITAN.NS,0.039903370004584354
SUNPHARMA.NS,0.08472527398191221
ULTRACEMCO.NS,4.336808689942018e-19
NESTLEIND.NS,0.03599675764187312
BAJFINANCE.NS,0.0
WIPRO.NS,0.0
HCLTECH.NS,0.0008957811173736364
ADANIENT.NS,0.0
ONGC.NS,2.574980159653073e-19
NTPC.NS,0.0
POWERGRID.NS,0.0034138011799944466
TATASTEEL.NS,6.776263578034403e-19
BAJAJFINSV.NS,0.0
M&M.NS,7.225191040079182e-19
TECHM.NS,2.2768245622195593e-18
COALINDIA.NS,0.0008645461103381673
HINDALCO.NS,5.099138342470888e-19
INDUSINDBK.NS,0.0
DRREDDY.NS,0.07219762486478304
CIPLA.NS,0.03774345100145457
EICHERMOT.NS,1.0299920638612292e-18
DIVISLAB.NS,0.02551396064211996
TATACONSUM.NS,0.0
GRASIM.NS,0.0
JSWSTEEL.NS,2.6893296075324036e-19
APOLLOHOSP.NS,0.026082540477639287
HEROMOTOCO.NS,0.0
BRITANNIA.NS,0.07374457392365238
SBILIFE.NS,1.8431436932253575e-18
ADANIPORTS.NS,1.0842021724855044e-18
BPCL.NS,4.336808689942018e-19
HDFCLIFE.NS,0.035446791715192105
SHRIRAMFIN.NS,1.328147661294743e-18
LTIM.NS,0.0
BAJAJ-AUTO.NS,0.0005482628121132411
