,weight
RELIANCE.NS,0.01613593767930705
TCS.NS,0.0
HDFCBANK.NS,0.0
INFY.NS,0.0
ICICIBANK.NS,0.0
HINDUNILVR.NS,0.0
ITC.NS,0.0
SBIN.NS,0.02149130459243103
BHARTIARTL.NS,0.08616238064175957
KOTAKBANK.NS,0.09547507440321962
LT.NS,0.020314560799639194
AXISBANK.NS,0.07423092793846081
ASIANPAINT.NS,0.13574724410949918
MARUTI.NS,0.0761972364172495
TITAN.NS,0.07631878518982647
SUNPHARMA.NS,0.0
ULTRACEMCO.NS,0.0
NESTLEIND.NS,0.14381968355967392
BAJFINANCE.NS,0.0
WIPRO.NS,0.0
HCLTECH.NS,0.0
ADANIENT.NS,0.0
ONGC.NS,0.0
NTPC.NS,0.0
POWERGRID.NS,0.0
TATASTEEL.NS,7.957892057354597e-19
BAJAJFINSV.NS,0.0
M&M.NS,0.0
TECHM.NS,0.0
COALINDIA.NS,0.0
HINDALCO.NS,0.004760430151719665
INDUSINDBK.NS,0.0
DRREDDY.NS,0.0
CIPLA.NS,0.0
EICHERMOT.NS,0.004985355538081429
DIVISLAB.NS,0.0
TATACONSUM.NS,0.061327284328027434
GRASIM.NS,0.0
JSWSTEEL.NS,0.0
APOLLOHOSP.NS,0.0
HEROMOTOCO.NS,0.012084687788169393
BRITANNIA.NS,0.0
SBILIFE.NS,0.0705765582626052
ADANIPORTS.NS,3.078982281169827e-19
BPCL.NS,0.02269506819218811
HDFCLIFE.NS,0.0
SHRIRAMFIN.NS,0.0
LTIM.NS,0.06007882666963933
BAJAJ-AUTO.NS,0.017598653738502987
