,weight
RELIANCE.NS,0.02131510729440492
TCS.NS,0.025357730706142657
HDFCBANK.NS,0.023472619692470796
INFY.NS,0.02198892282533993
ICICIBANK.NS,0.020282523423953196
HINDUNILVR.NS,0.025999070889118524
ITC.NS,0.024353962008001735
SBIN.NS,0.019411939964332253
BHARTIARTL.NS,0.022137929342488944
KOTAKBANK.NS,0.021238224087324658
LT.NS,0.02180502338486608
AXISBANK.NS,0.017459994256473477
ASIANPAINT.NS,0.02386754958410136
MARUTI.NS,0.02102240390210635
TITAN.NS,0.021732926744055844
SUNPHARMA.NS,0.024340955795687513
ULTRACEMCO.NS,0.022646715999771493
NESTLEIND.NS,0.027433443345478294
BAJFINANCE.NS,0.016511841063165923
WIPRO.NS,0.021018581731863856
HCLTECH.NS,0.021994983707672756
ADANIENT.NS,0.011812081843861422
ONGC.NS,0.01651559913141013
NTPC.NS,0.021362454256490127
POWERGRID.NS,0.02164356064759458
TATASTEEL.NS,0.01665224342517346
BAJAJFINSV.NS,0.017700842024804223
M&M.NS,0.01826989182174958
TECHM.NS,0.020050549656624145
COALINDIA.NS,0.01945761765962519
HINDALCO.NS,0.015361269793318871
INDUSINDBK.NS,0.012470642485591906
DRREDDY.NS,0.02440299717101731
CIPLA.NS,0.022623663702459048
EICHERMOT.NS,0.0203620966249786
DIVISLAB.NS,0.020857088864115195
TATACONSUM.NS,0.021522087688646607
GRASIM.NS,0.0206281610610881
JSWSTEEL.NS,0.017664143453879826
APOLLOHOSP.NS,0.018795756571515037
HEROMOTOCO.NS,0.02057971174784156
BRITANNIA.NS,0.025653986897770008
SBILIFE.NS,0.02253668554500061
ADANIPORTS.NS,0.015386895856801532
BPCL.NS,0.018383959221939757
HDFCLIFE.NS,0.020612281004600885
SHRIRAMFIN.NS,0.01308018497226696
LTIM.NS,0.017904860302029504
BAJAJ-AUTO.NS,0.022316236818985417
