date,portfolio_value
2020-06-03,1009528.5523214875
2020-06-04,1018185.7428103902
2020-06-05,1037213.100912408
2020-06-08,1041143.882769848
2020-06-09,1055536.6923122904
2020-06-10,1050973.2720982113
2020-06-11,977795.0900287682
2020-06-12,1001770.0584689943
2020-06-15,1024944.8785185362
2020-06-16,1035013.4899633769
2020-06-17,1032853.0902123691
2020-06-18,1030311.745739275
2020-06-19,1028826.5799371032
2020-06-22,1039605.2737013696
2020-06-23,1045399.1741465287
2020-06-24,1016458.7472108435
2020-06-25,1044057.0611116755
2020-06-26,988564.3142719418
2020-06-29,1001958.3276111226
2020-06-30,1027841.5145428281
2020-07-01,1037336.6161605191
2020-07-06,1098770.8455049149
2020-07-07,1096625.364098304
2020-07-08,1108812.8483477137
2020-07-09,1125053.1089974844
2020-07-10,1169755.3251873276
2020-07-13,1144439.4230783677
2020-07-14,1153493.043490253
2020-07-15,1155348.8749783582
2020-07-16,1143181.1570134263
2020-07-17,1128884.6525547775
2020-07-20,1185734.2648743258
2020-07-21,1155840.0848980525
2020-07-22,1157791.1843271684
2020-07-23,1115675.5089130183
2020-07-24,1099321.8831371437
2020-07-27,1139116.509738063
2020-07-28,1114660.4963870053
2020-07-29,1126321.2289344592
2020-07-30,1128583.226301731
2020-07-31,1157533.9891610797
2020-08-03,1175684.4588922285
2020-08-05,1176848.2235692346
2020-08-06,1186757.895530933
2020-08-07,1172679.6565551567
2020-08-10,1169534.670543401
2020-08-11,1141455.2876019329
2020-08-12,1203691.9548988775
2020-08-13,1220909.9083176975
2020-08-14,1226677.6475484297
2020-08-17,1275232.8743362615
2020-08-18,1286676.4607554278
2020-08-19,1282160.5483435777
2020-08-20,1315225.6303147469
2020-08-21,1350819.6802440993
2020-08-24,1350255.7598485798
2020-08-25,1346290.986659251
2020-08-26,1369025.7517324763
2020-08-27,1374323.2486162125
2020-08-28,1379367.3639905108
2020-08-31,1436444.1232206589
2020-09-01,1432435.42855795
2020-09-03,1330558.6474261703
2020-09-04,1321962.7705658132
2020-09-08,1203128.020840315
2020-09-09,1261349.1273282808
2020-09-10,1238001.9972544203
2020-09-11,1231509.4531304429
2020-09-14,1288228.8340023637
2020-09-15,1326570.2067862283
2020-09-16,1289505.4685652095
2020-09-17,1255910.860445448
2020-09-18,1252801.542288672
2020-09-21,1271688.4049317997
2020-09-22,1270174.1190044975
2020-09-23,1203808.6510165238
2020-09-24,1217366.077392973
2020-09-25,1260875.4787702677
2020-09-28,1285996.7338604352
2020-09-29,1291724.149981855
2020-09-30,1310567.0225864367
2020-10-01,1342305.0180011
2020-10-05,1374816.5875922288
2020-10-06,1352896.8272310593
2020-10-07,1373313.1273770442
2020-10-08,1372370.6829135623
2020-10-09,1386574.1794616112
2020-10-12,1426581.6053347008
2020-10-13,1426640.747281618
2020-10-14,1430890.2339806054
2020-10-15,1420671.070108948
2020-10-16,1406268.880790596
2020-10-19,1379086.7539410116
2020-10-20,1381961.0543460404
2020-10-21,1380468.2085432815
2020-10-22,1375775.2910860716
2020-10-23,1373492.936139108
2020-10-26,1359729.9087248854
2020-10-27,1372743.674645504
2020-10-28,1318043.724391489
2020-10-29,1340249.1260494445
2020-10-30,1291311.4970997535
2020-11-02,1305713.638670108
2020-11-04,1311276.8118793138
2020-11-05,1338457.975295403
2020-11-06,1342344.15917628
2020-11-09,1368239.3134572904
2020-11-10,1374840.561890901
2020-11-11,1379824.3033951751
2020-11-12,1371659.5887738222
2020-11-13,1402653.4230582628
2020-11-16,1420648.2735499192
2020-11-17,1430704.8450742422
2020-11-18,1449258.6165736374
2020-11-19,1463281.5377716008
2020-11-20,1453268.9649648112
2020-11-23,1480641.9441191088
2020-11-24,1519001.5170548367
2020-11-25,1527266.2893088565
2020-11-27,1532910.098839582
2020-11-30,1512613.3141513295
2020-12-01,1526203.6875192218
2020-12-03,1558648.3457535983
2020-12-04,1598102.5381984406
2020-12-07,1613425.721597815
2020-12-08,1615313.0792922138
2020-12-09,1605830.6859964356
2020-12-10,1632591.8582370388
2020-12-11,1604079.6113140662
2020-12-14,1596196.5922646476
2020-12-15,1625209.7316009577
2020-12-16,1608709.5345153539
2020-12-17,1624883.2192001145
2020-12-18,1633308.0377379116
2020-12-21,1617224.6346275953
2020-12-22,1586719.0683762138
2020-12-23,1628792.8362556917
2020-12-24,1620103.0691525748
2020-12-28,1621105.7207194592
2020-12-29,1615234.4596767458
2020-12-30,1644089.286074053
2020-12-31,1661552.3790783996
2021-01-04,1652769.1725987752
2021-01-06,1722236.4709228666
2021-01-07,1768490.5884385211
2021-01-08,1805545.6983153294
2021-01-11,1786315.5391579191
2021-01-12,1833309.842055357
2021-01-13,1832516.1809561504
2021-01-14,1842591.5554907683
2021-01-15,1802741.7745283039
2021-01-19,1808364.5549624765
2021-01-20,1804375.5829968748
2021-01-21,1784412.8495597297
2021-01-22,1784242.6362795618
2021-01-25,1780736.8278255544
2021-01-26,1784976.1851087443
2021-01-27,1745266.2005046045
2021-01-28,1729557.5024049096
2021-01-29,1674466.3507010343
2021-02-01,1708756.5028283764
2021-02-03,1700571.9084897456
2021-02-04,1709762.3638849223
2021-02-05,1717774.1339509094
2021-02-08,1726458.2744599313
2021-02-09,1723251.0608475101
2021-02-10,1698903.1220319825
2021-02-11,1701581.672418577
2021-02-12,1707533.96979291
2021-02-16,1684582.6643240664
2021-02-17,1683256.6308696629
2021-02-18,1675796.894149614
2021-02-19,1659595.558235298
2021-02-22,1603030.5072889833
2021-02-23,1588272.5319918566
2021-02-24,1619838.8914430218
2021-02-25,1567823.1971598584
2021-02-26,1558190.3835153885
2021-03-01,1609495.5321230914
2021-03-03,1626860.372814342
2021-03-04,1650968.5335400475
2021-03-05,1696346.7504467769
2021-03-08,1713922.9988846967
2021-03-09,1688599.254133321
2021-03-10,1733098.4104682344
2021-03-11,1725930.4799857445
2021-03-12,1742677.1309825922
2021-03-15,1725276.0688898733
2021-03-16,1687499.8341680542
2021-03-17,1705411.3660001426
2021-03-18,1653654.064271419
2021-03-19,1634039.5573008577
2021-03-22,1626397.4631073677
2021-03-23,1593508.5119421824
2021-03-24,1617584.2304427607
2021-03-25,1625181.8582043352
2021-03-26,1655751.236456845
2021-03-29,1639429.534484858
2021-03-30,1639031.3348241902
2021-03-31,1621907.656308563
2021-04-01,1649100.0278230412
2021-04-06,1635844.732233309
2021-04-07,1645167.8484455363
2021-04-08,1646273.8230220312
2021-04-09,1656024.309848602
2021-04-12,1657444.0797148806
2021-04-13,1646005.8366570363
2021-04-14,1645844.4654617526
2021-04-15,1649583.1264332351
2021-04-16,1659236.6819648463
2021-04-19,1650754.9400115958
2021-04-20,1632081.2119555909
2021-04-21,1647892.3037154514
2021-04-22,1626844.2936856253
2021-04-23,1646526.8423469255
2021-04-26,1644343.4831235318
2021-04-27,1644115.756071645
2021-04-28,1653443.565346365
2021-04-29,1691616.7304510144
2021-04-30,1679746.7662073402
2021-05-03,1686629.8209781547
2021-05-05,1694923.9821516513
2021-05-06,1718578.210734152
2021-05-07,1725213.2213937368
2021-05-10,1710549.5315992322
2021-05-11,1682113.88558491
2021-05-12,1667165.9112809058
2021-05-13,1681367.329908937
2021-05-14,1713493.3681415573
2021-05-17,1725273.7228501972
2021-05-18,1701539.1831036762
2021-05-19,1690700.8030224731
2021-05-20,1692932.5567087946
2021-05-21,1698507.502441338
2021-05-24,1716023.7954502932
2021-05-25,1714055.839862437
2021-05-26,1721098.740385245
2021-05-27,1731688.2340758587
2021-05-28,1725756.80712405
2021-06-01,1739515.4146477447
2021-06-03,1738890.9669905456
2021-06-04,1760802.902162073
2021-06-07,1769545.2873271094
2021-06-08,1758634.5340889527
2021-06-09,1744048.6371167079
2021-06-10,1746273.5671651848
2021-06-11,1755087.0032723232
2021-06-14,1757013.3274308932
2021-06-15,1754880.771055558
2021-06-16,1743434.7324254566
