date,portfolio_value
2020-06-03,1003858.5187067919
2020-06-04,1000577.9944961676
2020-06-05,1008561.4070504039
2020-06-08,1015268.1849160155
2020-06-09,1023999.0272191752
2020-06-10,1027940.9460550359
2020-06-11,990371.0015996543
2020-06-12,985614.4730603053
2020-06-15,989748.2218471667
2020-06-16,1009624.1703852393
2020-06-17,1009894.8559508676
2020-06-18,1010447.8859626738
2020-06-19,1017354.7119659767
2020-06-22,1024395.2259158215
2020-06-23,1028072.102195148
2020-06-24,1012584.5526751347
2020-06-25,1018928.3012203305
2020-06-26,1000055.9908007352
2020-06-29,1005962.2475474516
2020-06-30,1021385.117415162
2020-07-01,1037890.0183316715
2020-07-06,1057076.553761027
2020-07-07,1068570.4956073829
2020-07-08,1070109.1720409596
2020-07-09,1078725.1947142724
2020-07-10,1091266.0841418353
2020-07-13,1084251.379952357
2020-07-14,1096682.1077848098
2020-07-15,1095567.2391864134
2020-07-16,1094973.8783363122
2020-07-17,1091462.9639720127
2020-07-20,1108389.5457991906
2020-07-21,1103293.524660803
2020-07-22,1104423.959608117
2020-07-23,1090262.974779716
2020-07-24,1088696.3992278758
2020-07-27,1096580.6067224082
2020-07-28,1089463.9100423614
2020-07-29,1089684.2898377832
2020-07-30,1086638.665852194
2020-07-31,1092846.6117643695
2020-08-03,1092152.6043864323
2020-08-05,1094848.9130935806
2020-08-06,1093915.7517190534
2020-08-07,1092722.484475715
2020-08-10,1093677.183270139
2020-08-11,1084650.8032684736
2020-08-12,1106468.4838443976
2020-08-13,1106041.2418548712
2020-08-14,1107633.8640498512
2020-08-17,1120503.4203872026
2020-08-18,1129881.7361334907
2020-08-19,1119486.441731819
2020-08-20,1117859.0966848382
2020-08-21,1119007.5998123519
2020-08-24,1122368.464399362
2020-08-25,1123272.69410471
2020-08-26,1134569.9676364495
2020-08-27,1144336.3878638416
2020-08-28,1156408.651334145
2020-08-31,1159058.420212337
2020-09-01,1172000.7751326927
2020-09-03,1140212.159822158
2020-09-04,1130642.5738682817
2020-09-08,1099548.635932049
2020-09-09,1120743.6945933127
2020-09-10,1097528.5181660766
2020-09-11,1097123.9375908517
2020-09-14,1100580.2145486635
2020-09-15,1106915.471900238
2020-09-16,1096961.5692221278
2020-09-17,1090826.844389553
2020-09-18,1084917.3735228407
2020-09-21,1076098.218622181
2020-09-22,1093219.1353577054
2020-09-23,1070314.6304480417
2020-09-24,1072770.2476076286
2020-09-25,1081763.234054314
2020-09-28,1093307.9219433116
2020-09-29,1087424.337195318
2020-09-30,1098498.8376182208
2020-10-01,1106585.1846960613
2020-10-05,1121796.3080194835
2020-10-06,1102802.9220833918
2020-10-07,1117777.930526882
2020-10-08,1122992.9595768887
2020-10-09,1135052.5448978527
2020-10-12,1149152.4733201654
2020-10-13,1148301.5277263885
2020-10-14,1137353.2166937157
2020-10-15,1131794.1724862927
2020-10-16,1135043.1974481952
2020-10-19,1117132.9725394982
2020-10-20,1119770.3189458626
2020-10-21,1111604.503642211
2020-10-22,1117349.7880962125
2020-10-23,1121471.0755656515
2020-10-26,1112018.9414587503
2020-10-27,1111133.9436718416
2020-10-28,1079572.9662082186
2020-10-29,1081695.5037329816
2020-10-30,1077616.6666885645
2020-11-02,1092768.6384989987
2020-11-04,1120791.8472091528
2020-11-05,1128538.0724314386
2020-11-06,1133213.7027439692
2020-11-09,1135149.1830689798
2020-11-10,1147668.1497042477
2020-11-11,1156281.8163950304
2020-11-12,1149082.730658668
2020-11-13,1163821.0068613654
2020-11-16,1165366.7770008126
2020-11-17,1163157.6167856588
2020-11-18,1154289.2672641848
2020-11-19,1163970.426277358
2020-11-20,1161817.8129607486
2020-11-23,1162848.922495726
2020-11-24,1170189.619726278
2020-11-25,1174391.286268998
2020-11-27,1176958.6106404918
2020-11-30,1178046.1787042227
2020-12-01,1187331.0823360668
2020-12-03,1183491.5536767775
2020-12-04,1190064.2171044762
2020-12-07,1185997.0612353424
2020-12-08,1199275.5996160505
2020-12-09,1195672.4936877554
2020-12-10,1189858.5096652268
2020-12-11,1189360.7569650467
2020-12-14,1176709.4870208565
2020-12-15,1177433.294245672
2020-12-16,1179534.9481950004
2020-12-17,1186688.5702470026
2020-12-18,1184676.5277929709
2020-12-21,1178858.8843182107
2020-12-22,1172100.1881926036
2020-12-23,1170178.147767788
2020-12-24,1171714.9232829518
2020-12-28,1183207.04757461
2020-12-29,1188343.1560952046
2020-12-30,1187216.7816074763
2020-12-31,1194466.7130598759
2021-01-04,1184596.6770178257
2021-01-06,1180977.2313298297
2021-01-07,1184801.0395288726
2021-01-08,1185886.1282635438
2021-01-11,1186750.363425127
2021-01-12,1186329.7342972688
2021-01-13,1188469.1470486545
2021-01-14,1185727.7020421426
2021-01-15,1178417.7722051837
2021-01-19,1182612.8195336303
2021-01-20,1200455.3352947298
2021-01-21,1196863.171369681
2021-01-22,1197350.1512588772
2021-01-25,1200956.7625734806
2021-01-26,1209530.7620054467
2021-01-27,1179537.9156927278
2021-01-28,1185119.330111381
2021-01-29,1162001.6102109018
2021-02-01,1166338.116286625
2021-02-03,1166324.0411490004
2021-02-04,1172999.6759333473
2021-02-05,1182118.924759311
2021-02-08,1179641.0442018516
2021-02-09,1180144.027009743
2021-02-10,1173531.9936462943
2021-02-11,1169567.5128660968
2021-02-12,1175223.1108864038
2021-02-16,1172292.938601735
2021-02-17,1183191.5403145193
2021-02-18,1166859.6823960063
2021-02-19,1155039.6175982533
2021-02-22,1153779.8507751497
2021-02-23,1146508.291403275
2021-02-24,1145931.8865179424
2021-02-25,1135789.4673640907
2021-02-26,1121746.1067102829
2021-03-01,1131937.4435752213
2021-03-03,1119858.727183069
2021-03-04,1111306.0029409765
2021-03-05,1125454.4709305484
2021-03-08,1124609.632644936
2021-03-09,1132153.6716072
2021-03-10,1146991.8362906068
2021-03-11,1148950.338238769
2021-03-12,1154284.1459988593
2021-03-15,1164062.9859311737
2021-03-16,1166619.7458866027
2021-03-17,1161064.003424257
2021-03-18,1149163.3664860611
2021-03-19,1154096.2263932398
2021-03-22,1163332.6762483148
2021-03-23,1163587.3800959466
2021-03-24,1159381.414339426
2021-03-25,1161597.8162198411
2021-03-26,1175751.151999517
2021-03-29,1186735.2480386812
2021-03-30,1177539.099434549
2021-03-31,1180231.2239583018
2021-04-01,1183393.9615736888
2021-04-06,1181622.320072599
2021-04-07,1184718.6608217536
2021-04-08,1185465.3240138213
2021-04-09,1194710.8699323453
2021-04-12,1196947.6250927176
2021-04-13,1195038.722457951
2021-04-14,1190145.6004266026
2021-04-15,1198562.3470496505
2021-04-16,1208142.0489813862
2021-04-19,1207612.304063221
2021-04-20,1213280.1230655424
2021-04-21,1221416.8797848173
2021-04-22,1208781.721024533
2021-04-23,1213687.1543633079
2021-04-26,1208654.3228631027
2021-04-27,1205209.3087965732
2021-04-28,1207112.2244737858
2021-04-29,1208330.2672407636
2021-04-30,1208621.1412657339
2021-05-03,1221633.0811329926
2021-05-05,1225034.8953665183
2021-05-06,1231152.2822310254
2021-05-07,1231162.2319395808
2021-05-10,1231534.8057426636
2021-05-11,1222802.427859893
2021-05-12,1207626.163263935
2021-05-13,1222361.9345302994
2021-05-14,1229267.9801196596
2021-05-17,1234648.4234825964
2021-05-18,1236667.7661190259
2021-05-19,1233784.2486100777
2021-05-20,1240905.9740713297
2021-05-21,1234277.3052104726
2021-05-24,1237483.7263712857
2021-05-25,1233182.094871635
2021-05-26,1231614.086486655
2021-05-27,1224527.9611106648
2021-05-28,1225879.7029964384
2021-06-01,1218883.9607982873
2021-06-03,1221672.9391288497
2021-06-04,1226606.9833159097
2021-06-07,1219564.5735251768
2021-06-08,1216427.457695265
2021-06-09,1223492.6622093497
2021-06-10,1239558.4605643023
2021-06-11,1237879.2300415966
2021-06-14,1237604.4168024142
2021-06-15,1235267.7033444245
2021-06-16,1227459.0709329236
2021-06-17,1233926.3335266567
2021-06-18,1216452.802248402
2021-06-21,1225803.9940436594
2021-06-22,1229819.596528423
2021-06-23,1221246.4999419707
2021-06-24,1225201.9873157274
2021-06-25,1228318.342101003
2021-06-28,1230254.5103054605
2021-06-29,1227391.375363929
2021-06-30,1239192.517250205
2021-07-01,1239645.0392300624
2021-07-06,1243420.1782101917
2021-07-07,1249504.6924719266
2021-07-08,1247611.6271276693
2021-07-09,1252470.0850691071
2021-07-12,1251825.5961337346
2021-07-13,1251816.736083872
2021-07-14,1260959.2516313726
2021-07-15,1258062.2497323174
2021-07-16,1253835.2085393595
2021-07-19,1244417.3985052789
2021-07-20,1251226.4144029175
2021-07-21,1252453.802630587
2021-07-22,1256246.3878785537
2021-07-23,1266818.562850315
2021-07-26,1269704.655847828
2021-07-27,1268904.9462737164
2021-07-28,1269046.3752880138
2021-07-29,1265573.5840373342
2021-07-30,1251244.4571096573
2021-08-02,1250247.5296237136
2021-08-04,1239493.232690438
2021-08-05,1247780.4547761725
2021-08-06,1244062.586571535
2021-08-09,1246199.5137800146
2021-08-10,1257830.5183291368
2021-08-11,1255687.026061935
2021-08-12,1262124.2528916255
2021-08-13,1268910.031100359
2021-08-16,1280041.0718834703
2021-08-17,1282618.6849326023
2021-08-18,1265591.2997697138
2021-08-19,1270930.9302476526
2021-08-20,1276334.970476107
2021-08-23,1279528.5933448237
2021-08-24,1271521.7793591549
2021-08-25,1267504.2406194771
2021-08-26,1262722.3487407411
2021-08-27,1259936.7566475037
2021-08-30,1270244.9533654957
2021-08-31,1270865.8262515625
2021-09-01,1263540.861432948
2021-09-03,1265382.7197622804
2021-09-07,1249062.1054183983
2021-09-08,1252725.2471900147
2021-09-09,1235727.768109219
2021-09-10,1230038.7536280921
2021-09-13,1226707.6791921693
2021-09-14,1219930.2083697016
2021-09-15,1226504.2252155505
2021-09-16,1224339.7272110665
2021-09-17,1218373.0647022796
2021-09-20,1205520.8239598095
2021-09-21,1205269.5911616012
2021-09-22,1207593.5480726908
2021-09-23,1214900.7915396246
2021-09-24,1215481.3457272388
2021-09-27,1210655.5817322352
2021-09-28,1197451.0947429566
2021-09-29,1205796.8327585533
2021-09-30,1194543.416496951
2021-10-01,1203444.2458873126
2021-10-05,1208870.86485314
2021-10-06,1213524.3467099871
2021-10-07,1225287.328827196
2021-10-08,1222426.329923072
2021-10-11,1216464.5537604454
2021-10-12,1210558.7949541898
2021-10-13,1210669.2085188993
2021-10-14,1219917.7932295369
2021-10-15,1227919.9910549552
2021-10-18,1225635.3376947807
2021-10-19,1240888.535901967
2021-10-20,1247301.477703306
2021-10-21,1251115.9074871768
2021-10-22,1251442.2886443976
2021-10-25,1255734.9021270352
2021-10-26,1260724.5417972836
2021-10-27,1253119.91698914
2021-10-28,1270173.0783754482
2021-10-29,1278267.6776586194
2021-11-01,1276169.841720429
2021-11-03,1281188.490105766
2021-11-04,1287932.048588672
2021-11-05,1282681.7061453704
2021-11-08,1277645.2877059598
2021-11-09,1281051.806096291
2021-11-10,1282621.3754254607
2021-11-11,1281896.645276599
2021-11-12,1287415.477047513
2021-11-15,1284800.975782225
2021-11-16,1275517.9482997234
2021-11-17,1273893.6230993208
2021-11-18,1280925.8766308178
2021-11-19,1272592.6378990375
2021-11-22,1273466.81347582
2021-11-23,1282868.9427052054
2021-11-24,1281000.1023267747
2021-11-26,1265851.3070062639
2021-11-29,1257465.8280531324
2021-11-30,1237591.7047784044
2021-12-01,1229602.5580734909
2021-12-03,1239612.4522183319
2021-12-06,1252337.209483267
2021-12-07,1256107.3311789643
2021-12-08,1254729.8570330143
2021-12-09,1260720.1826214597
2021-12-10,1270627.9266503265
2021-12-13,1284322.128907651
2021-12-14,1291309.967142331
2021-12-15,1310951.0843531492
2021-12-16,1312111.925887134
2021-12-17,1287671.3976465021
2021-12-20,1289396.602365398
2021-12-21,1289141.1161794371
2021-12-22,1296247.9708636715
2021-12-23,1296451.4197061034
2021-12-27,1305256.42341137
2021-12-28,1310871.846334152
2021-12-29,1311729.4371526826
2021-12-30,1313728.489052728
2021-12-31,1314738.1941540746
2022-01-03,1314565.848074763
