,0
AMZN,-1.4648949358697345e-22
META,-1.3124444507055703e-22
TSLA,-7.63582560893635e-23
NVDA,-3.3225186673760526e-22
ABBV,-2.1822908834217603e-22
WMT,-1.7410036348327877e-22
GOOGL,0.15000000000000005
GE,0.25
AAPL,3.491009043391816e-22
COP,-1.271871803066266e-22
PFE,-1.5683725702035334e-22
JNJ,-1.7018604157262146e-22
C,0.25
CAT,-1.0071000566395919e-22
MRK,0.25
NFLX,-3.7016552690678713e-22
HD,1.2900577634943155e-22
GS,2.887274396308372e-22
BAC,3.2245426996029867e-22
JPM,4.557159106507062e-22
WFC,4.755889457123258e-22
PEP,-5.138325205452242e-23
XOM,-2.3416326435370445e-22
PG,-1.7128581234374246e-22
UNH,-2.559110902127722e-22
BA,0.09999999999999977
MSFT,-3.35417490657775e-23
KO,-1.424431117539577e-22
MCD,-2.4390154201263404e-22
SLB,-1.6225478948245868e-22
CVS,-1.1604749960348561e-22
CVX,-1.9619409603006754e-22
MS,4.0397395361864797e-22
MMM,-2.413857164926567e-22
