,0
AMZN,-1.554649857160239e-08
META,3.411962467647941e-08
TSLA,3.211317328188724e-07
NVDA,1.8159491615203105e-08
ABBV,-1.6454782813424073e-07
WMT,-2.2229437600540762e-07
GOOGL,0.24999993570878717
GE,0.25000244304551045
AAPL,1.4417473222323997e-07
COP,1.1969020621846733e-07
PFE,2.6898006438787752e-08
JNJ,-1.7860743484933398e-07
C,0.2500003750675126
CAT,-1.054851340529567e-07
MRK,0.24999974200342082
NFLX,-7.102499096807359e-10
HD,1.3032691894840441e-07
GS,1.1805567440444763e-07
BAC,7.913347491985178e-08
JPM,1.2148613104540947e-07
WFC,3.1785765531585984e-07
PEP,-5.410702294617003e-08
XOM,9.422079911524894e-08
PG,-1.920124001706943e-07
UNH,1.363201603798069e-08
BA,-3.3813409631053325e-06
MSFT,-4.558024848433126e-08
KO,5.7248691990024896e-08
MCD,1.0885815609872152e-07
SLB,2.4040912248211015e-07
CVS,-1.3043355396927942e-07
CVX,2.0853451460759107e-07
MS,8.015351894739316e-08
MMM,-2.3922435764209483e-07
