,0
AMZN,0.05709655474506811
META,0.0
TSLA,3.4805649117782665e-19
NVDA,3.3760313427347956e-19
ABBV,0.06206865754598944
WMT,0.19144217527143795
GOOGL,0.0
GE,8.035314467239041e-19
AAPL,0.0
COP,5.438138177694892e-19
PFE,0.03211611362735568
JNJ,0.16478065507388986
C,2.366278052536166e-19
CAT,0.009355344925191494
MRK,0.08651247757699723
NFLX,0.02675588735941489
HD,2.885354147932895e-19
GS,2.343253061690143e-19
BAC,0.0
JPM,5.595859579146656e-19
WFC,0.0
PEP,3.903127820947816e-18
XOM,0.047620972238150955
PG,0.10718601111312913
UNH,0.0
BA,1.1804626048394912e-19
MSFT,3.793844962250467e-18
KO,0.11118840190913887
MCD,0.09949332421553991
SLB,1.9523604149056752e-19
CVS,0.003439713986485473
CVX,0.0
MS,0.0
MMM,0.0009437104122109032
