date,portfolio_value
2013-01-04,998093.2582781728
2013-01-07,997642.1924432646
2013-01-08,990512.9801096275
2013-01-09,995698.9317032165
2013-01-10,1000753.4293008209
2013-01-11,1004005.8742140622
2013-01-14,1007486.1209481822
2013-01-15,1014501.0602844827
2013-01-16,1023950.4739275065
2013-01-17,1038397.0636049069
2013-01-18,1049206.0174469326
2013-01-22,1041482.3333030991
2013-01-23,1058372.9161699517
2013-01-24,1059365.3826508794
2013-01-25,1069119.4934352608
2013-01-28,1061998.251308673
2013-01-29,1068173.7479905062
2013-01-30,1066083.6460040056
2013-01-31,1060948.0144403756
2013-02-01,1069107.8121297415
2013-02-05,1073935.4556302882
2013-02-06,1076244.9986352476
2013-02-07,1067484.40433548
2013-02-08,1066316.488050659
2013-02-11,1060853.312391019
2013-02-12,1057315.4064515068
2013-02-13,1056995.4857678318
2013-02-14,1071760.8308599521
2013-02-15,1083866.772820867
2013-02-19,1097748.9116661025
2013-02-20,1097843.2205279628
2013-02-21,1096207.1426071043
2013-02-22,1095796.610966581
2013-02-25,1075060.8607456
2013-02-26,1081097.584573072
2013-02-27,1083390.633218627
2013-02-28,1084423.0629708332
2013-03-01,1097246.3248354632
2013-03-05,1093643.601894566
2013-03-06,1095607.6527386885
2013-03-07,1093932.571281281
2013-03-08,1095131.1506397845
2013-03-11,1097757.2046262324
2013-03-12,1092550.0696743634
2013-03-13,1093797.0041817694
2013-03-14,1099140.6012613748
2013-03-15,1103702.6271882136
2013-03-18,1098567.9469058951
2013-03-19,1101566.9680398887
2013-03-20,1111194.2127488258
2013-03-21,1103205.4058644534
2013-03-22,1117836.9409042732
2013-03-25,1117797.6582481917
2013-03-26,1135937.1636241702
2013-03-27,1133571.3735787584
2013-03-28,1142708.8634044316
2013-04-01,1147342.5958143235
2013-04-03,1139342.556036587
2013-04-04,1152639.1889370577
2013-04-05,1145711.0976538542
2013-04-08,1152932.4906548313
2013-04-09,1162046.9055506862
2013-04-10,1176507.003289521
2013-04-11,1179956.8881647037
2013-04-12,1182255.260811354
2013-04-15,1160103.0912671997
2013-04-16,1179104.145391402
2013-04-17,1171830.894178391
2013-04-18,1175437.4427989621
2013-04-19,1188711.0236917476
2013-04-22,1210027.245219127
2013-04-23,1233494.6353769375
2013-04-24,1206279.992640335
2013-04-25,1208288.0337695922
2013-04-26,1224376.225868191
2013-04-29,1220468.8826180864
2013-04-30,1223096.8529678816
2013-05-01,1215771.070837974
2013-05-03,1227248.9036401578
2013-05-06,1220789.3237981005
2013-05-07,1227804.1275475249
2013-05-08,1214333.2614713553
2013-05-09,1221551.7833944743
2013-05-10,1233512.7653015591
2013-05-13,1230113.3471072265
2013-05-14,1244625.295215869
2013-05-15,1260739.4233750994
2013-05-16,1255948.9351160214
2013-05-17,1265132.0699592014
2013-05-20,1250622.0815561467
2013-05-21,1254079.4737109418
2013-05-22,1254409.7507767207
2013-05-23,1246793.612221536
2013-05-24,1243740.2520323992
2013-05-28,1242431.038498715
2013-05-29,1213297.886836512
2013-05-30,1220115.10756014
2013-05-31,1190964.7905675701
2013-06-03,1203731.4555477959
2013-06-05,1192224.0051672144
2013-06-06,1200740.141919958
2013-06-07,1213660.0941272452
2013-06-10,1212953.8780223308
2013-06-11,1202127.447150622
2013-06-12,1187899.022753516
2013-06-13,1199394.9243671934
2013-06-14,1199519.3457668708
2013-06-17,1206273.7761007072
2013-06-18,1215386.4955462571
2013-06-19,1200797.8300390267
2013-06-20,1159857.5360250617
2013-06-21,1180462.393109796
2013-06-24,1175364.9354973766
2013-06-25,1184054.417527674
2013-06-26,1202173.8248126693
2013-06-27,1203971.0172545002
2013-06-28,1181130.877921254
2013-07-01,1193190.3176915883
2013-07-03,1190677.3752752969
2013-07-05,1202992.2665607913
2013-07-08,1221308.885043605
2013-07-09,1227356.811352211
2013-07-10,1232811.9746634988
2013-07-11,1244898.53126942
2013-07-12,1265428.1337359226
2013-07-15,1260925.1537416144
2013-07-16,1239419.2449580939
2013-07-17,1252196.2287228573
2013-07-18,1257327.5585778768
2013-07-19,1264809.5963944534
2013-07-22,1269739.6294507266
2013-07-23,1261024.2153179068
2013-07-24,1249316.2591432168
2013-07-25,1257324.7375427373
2013-07-26,1266170.3243081341
2013-07-29,1271838.836888338
2013-07-30,1266390.106079055
2013-07-31,1273361.5308857036
2013-08-01,1277373.288198239
2013-08-05,1281028.416003289
2013-08-06,1278266.3136387854
2013-08-07,1269360.2873809054
2013-08-08,1286441.6413953283
2013-08-09,1278900.9301875194
2013-08-12,1276647.5086139406
2013-08-13,1272926.6691513753
2013-08-14,1256385.451199476
2013-08-15,1234391.610697155
2013-08-16,1234447.4920723797
2013-08-19,1244188.0046620118
2013-08-20,1245526.1300709355
2013-08-21,1233824.9943614353
2013-08-22,1245768.7986814831
2013-08-23,1263868.3497532639
2013-08-26,1264028.8202420692
2013-08-27,1245378.9157012803
2013-08-28,1247278.519639971
2013-08-29,1252273.6181164952
2013-08-30,1254608.2288934456
2013-09-03,1257222.9983424465
2013-09-05,1263314.887145195
2013-09-06,1270958.9774757961
2013-09-09,1274618.8300611307
2013-09-10,1283718.8275774734
2013-09-11,1294512.608633822
2013-09-12,1291094.3430808857
2013-09-13,1292143.3775614514
2013-09-16,1292753.9134638081
2013-09-17,1317228.926968203
2013-09-18,1325132.9438711696
2013-09-19,1332080.121928798
2013-09-20,1343551.252872718
2013-09-23,1333697.5987423267
2013-09-24,1333848.9520324261
2013-09-25,1333242.477951764
2013-09-26,1341671.5387314514
2013-09-27,1341105.4239485264
2013-09-30,1333084.129350436
2013-10-01,1347493.2608663992
2013-10-03,1332949.3847488228
2013-10-04,1355098.5765513708
2013-10-07,1342976.5825618927
2013-10-08,1306064.1132600857
2013-10-09,1298837.7740876086
2013-10-10,1334406.8679021131
2013-10-11,1340248.0223529208
2013-10-14,1352448.0217904812
2013-10-15,1348963.880602902
2013-10-16,1372489.6886591834
2013-10-17,1386788.4274487265
2013-10-18,1394454.1002250833
2013-10-21,1385813.3986772834
2013-10-22,1384289.0026469522
2013-10-23,1373064.8348848212
2013-10-24,1379037.7863207199
2013-10-25,1384740.357898798
2013-10-28,1368899.0485384774
2013-10-29,1376850.741603716
2013-10-30,1359241.949336965
2013-10-31,1362363.0164404388
2013-11-01,1370059.9308792348
2013-11-05,1372433.3839388662
2013-11-06,1362092.4355266741
2013-11-07,1336300.136982507
2013-11-08,1350210.534135862
2013-11-11,1354022.351989089
2013-11-12,1340587.4654076165
2013-11-13,1356406.4018002013
2013-11-14,1364761.4069731191
2013-11-15,1370468.3567774743
2013-11-18,1355972.4606126954
2013-11-19,1353871.1926103015
2013-11-20,1343921.0761921871
2013-11-21,1354497.7587484242
2013-11-22,1360871.1155377687
2013-11-25,1349925.4711548311
2013-11-26,1355084.0297528706
2013-11-27,1358583.593832526
2013-11-29,1362559.0907969836
2013-12-02,1357890.491879799
2013-12-04,1353968.055113377
2013-12-05,1350679.575778188
2013-12-06,1374042.1316525412
2013-12-09,1374597.7495325427
2013-12-10,1383687.178152964
2013-12-11,1383422.8428447805
2013-12-12,1377473.7975840056
2013-12-13,1377058.1937357741
