date,portfolio_value
2013-01-04,1001185.1332773862
2013-01-07,1003597.7807564941
2013-01-08,996719.7639995483
2013-01-09,1000906.3745588049
2013-01-10,1008475.4357762485
2013-01-11,1009086.7334613156
2013-01-14,1013972.2591002762
2013-01-15,1017526.8327950244
2013-01-16,1024609.1315472168
2013-01-17,1032884.769868232
2013-01-18,1038204.0671019574
2013-01-22,1034879.0086750197
2013-01-23,1047459.7070259935
2013-01-24,1049954.790305306
2013-01-25,1065931.8689365091
2013-01-28,1058336.055012236
2013-01-29,1064175.8009037988
2013-01-30,1066077.2363212728
2013-01-31,1059172.6812450758
2013-02-01,1069440.5085122113
2013-02-05,1077133.0657455593
2013-02-06,1076950.1590854134
2013-02-07,1068067.7927484182
2013-02-08,1066485.0951849786
2013-02-11,1064215.9123110902
2013-02-12,1062126.2974515152
2013-02-13,1065119.0435899948
2013-02-14,1077410.3183632307
2013-02-15,1084206.3653903236
2013-02-19,1100719.9987904527
2013-02-20,1096628.0202017112
2013-02-21,1092720.0989144938
2013-02-22,1091077.2610771689
2013-02-25,1068873.5482512652
2013-02-26,1072422.1812411267
2013-02-27,1078846.5812069671
2013-02-28,1078061.0128100615
2013-03-01,1087994.3820763114
2013-03-05,1088772.3493072519
2013-03-06,1091268.0067481592
2013-03-07,1090449.424384556
2013-03-08,1091249.2529845224
2013-03-11,1092073.0546438042
2013-03-12,1085552.4662840532
2013-03-13,1090340.3974753113
2013-03-14,1093063.4175152185
2013-03-15,1093987.1560907266
2013-03-18,1090419.0763190081
2013-03-19,1091268.70817974
2013-03-20,1100938.9726358375
2013-03-21,1092249.3363895263
2013-03-22,1105256.0872181356
2013-03-25,1102097.981748796
2013-03-26,1121496.2370043069
2013-03-27,1119633.7652130558
2013-03-28,1127822.7145392483
2013-04-01,1127444.0573203787
2013-04-03,1116647.6676723845
2013-04-04,1126390.0222212605
2013-04-05,1119668.5286400164
2013-04-08,1123579.6756890782
2013-04-09,1131712.9523496954
2013-04-10,1149605.0061478016
2013-04-11,1161045.5993209912
2013-04-12,1162860.4264053483
2013-04-15,1143979.03507131
2013-04-16,1163055.8292111969
2013-04-17,1156258.7886488226
2013-04-18,1153314.0220434635
2013-04-19,1167906.442627681
2013-04-22,1186092.5650495556
2013-04-23,1215762.8398617285
2013-04-24,1198638.7173573829
2013-04-25,1196055.4062193986
2013-04-26,1204486.7562674049
2013-04-29,1205915.2655097456
2013-04-30,1197723.4862331075
2013-05-01,1188704.377277711
2013-05-03,1196037.324738419
2013-05-06,1192311.3298301767
2013-05-07,1196187.8573112253
2013-05-08,1188502.2009395184
2013-05-09,1196898.114952272
2013-05-10,1209622.7012799296
2013-05-13,1216509.6214774635
2013-05-14,1232049.9356827694
2013-05-15,1249259.0084640286
2013-05-16,1239853.4598238491
2013-05-17,1246480.903357484
2013-05-20,1236481.2033973478
2013-05-21,1241972.5470549273
2013-05-22,1238145.8069179263
2013-05-23,1231025.8583152061
2013-05-24,1227395.9076899686
2013-05-28,1230057.253074143
2013-05-29,1205016.7007719292
2013-05-30,1210660.394437553
2013-05-31,1184087.6643638469
2013-06-03,1195033.8510738076
2013-06-05,1183462.7588259908
2013-06-06,1191165.021729397
2013-06-07,1202982.509501234
2013-06-10,1204134.167717981
2013-06-11,1191274.0387323522
2013-06-12,1177015.3708693143
2013-06-13,1193020.2291408926
2013-06-14,1192702.7846908886
2013-06-17,1201371.8639930603
2013-06-18,1210060.3960520679
2013-06-19,1197628.5428313743
2013-06-20,1158371.7854383388
2013-06-21,1172715.2628828138
2013-06-24,1166560.7284128324
2013-06-25,1173416.3151401393
2013-06-26,1190658.9819353656
2013-06-27,1195196.7203939897
2013-06-28,1175302.4160138473
2013-07-01,1187556.48590957
2013-07-03,1186152.6748137786
2013-07-05,1201831.648452153
2013-07-08,1218447.8004337878
2013-07-09,1224907.406938502
2013-07-10,1229694.268698751
2013-07-11,1242692.8438604295
2013-07-12,1255769.973516427
2013-07-15,1256106.1726979506
2013-07-16,1231532.2526907746
2013-07-17,1247007.6004128957
2013-07-18,1250688.933520394
2013-07-19,1255733.8583178725
2013-07-22,1262512.7575161965
2013-07-23,1256231.130506725
2013-07-24,1246142.3360445742
2013-07-25,1252150.5094329198
2013-07-26,1260081.2096387225
2013-07-29,1265365.0149616424
2013-07-30,1260881.9018728184
2013-07-31,1266776.9764780689
2013-08-01,1273523.2917244819
2013-08-05,1280634.785049822
2013-08-06,1274635.4154308145
2013-08-07,1262962.0681722865
2013-08-08,1284953.3081299649
2013-08-09,1278199.5655297672
2013-08-12,1273381.365678247
2013-08-13,1270704.0122072385
2013-08-14,1250687.4824491786
2013-08-15,1231778.30035948
2013-08-16,1234659.8443525052
2013-08-19,1247172.8503939924
2013-08-20,1252835.4364996075
2013-08-21,1240367.494299249
2013-08-22,1254181.0145394471
2013-08-23,1274861.3850582684
2013-08-26,1276865.0487105693
2013-08-27,1256893.8986461335
2013-08-28,1260257.3365605124
2013-08-29,1267103.0365907566
2013-08-30,1268197.2668905652
2013-09-03,1273187.807953094
2013-09-05,1281681.326111476
2013-09-06,1289634.9951942605
2013-09-09,1292974.7326637004
2013-09-10,1303817.9016856342
2013-09-11,1314788.2892047758
2013-09-12,1309994.6599724835
2013-09-13,1310162.4505786782
2013-09-16,1310768.7784218665
2013-09-17,1336251.9440382444
2013-09-18,1343074.784607527
2013-09-19,1350949.4201930733
2013-09-20,1365302.207289819
2013-09-23,1354742.678276923
2013-09-24,1353746.3433407405
2013-09-25,1351853.8135807156
2013-09-26,1359364.5591428154
2013-09-27,1358154.0513424757
2013-09-30,1352448.0597610942
2013-10-01,1368457.648414067
2013-10-03,1353582.1045513288
2013-10-04,1377104.049241667
2013-10-07,1365105.6381900215
2013-10-08,1325084.80789407
2013-10-09,1316415.1117479636
2013-10-10,1353072.0804219816
2013-10-11,1360567.9078414084
2013-10-14,1373514.6083776944
2013-10-15,1371981.5228478252
2013-10-16,1395318.5472899282
2013-10-17,1408775.5718578263
2013-10-18,1415250.3328288393
2013-10-21,1407319.5896683617
2013-10-22,1403781.027510147
2013-10-23,1389956.1375976263
2013-10-24,1396444.3342725558
2013-10-25,1402821.3074663419
2013-10-28,1384404.4261075298
2013-10-29,1392666.8268031136
2013-10-30,1374105.9223585592
2013-10-31,1377932.533645585
2013-11-01,1386275.5347155703
2013-11-05,1390968.3540317265
2013-11-06,1380731.538508956
2013-11-07,1356238.3219976118
2013-11-08,1371786.970536177
2013-11-11,1372202.8788193297
2013-11-12,1360443.6585612693
2013-11-13,1375054.4273352223
2013-11-14,1384638.7196963744
2013-11-15,1390604.5546701269
2013-11-18,1377072.1173845616
2013-11-19,1375715.832148773
2013-11-20,1363749.7247970905
2013-11-21,1373404.0744156635
2013-11-22,1381607.9925998445
2013-11-25,1368582.7933767063
2013-11-26,1374967.194144426
2013-11-27,1379148.0512534352
2013-11-29,1381657.8611427853
2013-12-02,1377331.2212754593
2013-12-04,1374804.4830738632
2013-12-05,1371730.7695550502
2013-12-06,1391988.1723318293
2013-12-09,1393390.2992337155
2013-12-10,1402591.8504118514
2013-12-11,1399514.9274718673
2013-12-12,1396687.5541995757
2013-12-13,1396719.345856178
2013-12-16,1407214.5228417248
2013-12-17,1408268.9754830708
2013-12-18,1427749.3634428333
2013-12-19,1412880.8260693261
2013-12-20,1418389.0947348562
2013-12-23,1426521.232613749
2013-12-24,1426387.2271178388
2013-12-26,1436141.0028253258
2013-12-27,1425422.0358122387
2013-12-30,1423152.1810864073
2013-12-31,1425349.289630733
2014-01-02,1415076.9344827603
2014-01-06,1402853.6149126994
2014-01-07,1410243.5413114696
2014-01-08,1409089.4730674524
2014-01-09,1413219.3706414932
2014-01-10,1408548.4060334922
2014-01-13,1392743.9698665368
2014-01-14,1408155.945881007
2014-01-15,1402209.8884770304
2014-01-16,1400389.9834951842
2014-01-17,1392333.2496677851
2014-01-21,1400976.7436494941
2014-01-22,1396479.813460614
2014-01-23,1395936.5559030697
2014-01-24,1367283.4113507369
2014-01-27,1353734.0104526593
2014-01-28,1375117.3069721716
2014-01-29,1354960.3998110602
2014-01-30,1383547.4228204873
2014-01-31,1392061.4645567155
2014-02-03,1350944.5076140931
2014-02-05,1342609.9756612119
2014-02-06,1352234.6947838215
2014-02-07,1382208.6211989324
2014-02-10,1390626.392904037
2014-02-11,1406964.5870288052
2014-02-12,1406284.4361057722
2014-02-13,1422080.7158220212
2014-02-14,1426239.385415798
2014-02-18,1438089.7224395585
2014-02-19,1427852.9545394313
2014-02-20,1454555.7714574467
2014-02-21,1447417.2398837006
2014-02-24,1460298.914280583
2014-02-25,1472049.8225182847
2014-02-26,1473564.0820131362
2014-02-27,1477056.0918394628
2014-02-28,1476144.6240553085
2014-03-03,1462002.1996250555
2014-03-05,1466661.2193151633
2014-03-06,1468686.1389118202
2014-03-07,1460208.057605772
2014-03-10,1461751.224404893
2014-03-11,1447517.4424481792
2014-03-12,1455988.575930681
2014-03-13,1438808.6422679382
2014-03-14,1428120.7789179634
2014-03-17,1448316.471878981
2014-03-18,1463814.3027442954
2014-03-19,1456316.6417578212
2014-03-20,1458710.9255872015
2014-03-21,1449733.0858965346
2014-03-24,1416785.6417911265
2014-03-25,1430435.6313304573
2014-03-26,1415372.4086807142
2014-03-27,1405316.0847734504
2014-03-28,1408158.6522052467
2014-03-31,1416111.1462607188
2014-04-01,1431152.2828638274
2014-04-03,1423568.7863881504
2014-04-04,1398291.2996846826
2014-04-07,1378720.0961936242
2014-04-08,1374050.5023506165
2014-04-09,1407722.0858610282
2014-04-10,1355342.332812365
2014-04-11,1349952.4565491888
2014-04-14,1349919.2587261826
2014-04-15,1364713.5440801557
2014-04-16,1371886.1410462505
2014-04-17,1369906.2945591814
2014-04-21,1387043.6901073202
2014-04-22,1404922.2292899115
2014-04-23,1394535.1030168186
2014-04-24,1390535.2712275414
2014-04-25,1377982.5579364852
2014-04-28,1391836.4685931932
2014-04-29,1409212.080451829
2014-04-30,1414826.5048873278
2014-05-01,1415383.6735001248
2014-05-05,1424765.493740841
2014-05-06,1403724.476954199
2014-05-07,1411858.4201898954
2014-05-08,1391441.8545435525
2014-05-09,1398227.2737570265
2014-05-12,1404814.0794373227
2014-05-13,1410215.898033226
2014-05-14,1416116.0627733036
2014-05-15,1404614.7343210727
2014-05-16,1409715.6038653809
2014-05-19,1424813.0576417798
2014-05-20,1415526.0919180461
2014-05-21,1424055.1057049523
2014-05-22,1429515.5540464334
2014-05-23,1437345.4244840525
2014-05-27,1444011.7229106503
2014-05-28,1441033.4086619138
2014-05-29,1452521.9461750214
2014-05-30,1456959.7992990736
2014-06-02,1455192.8373111435
2014-06-04,1460650.0502081905
2014-06-05,1468866.7316176859
2014-06-06,1467401.0186497318
2014-06-09,1464157.7122616405
