date,portfolio_value
2013-01-04,1001650.3333284112
2013-01-07,1002128.1220646212
2013-01-08,1003839.0123796725
2013-01-09,1006978.9680835517
2013-01-10,1015683.3714206137
2013-01-11,1013178.1457368553
2013-01-14,1015068.9949938277
2013-01-15,1017832.3224118169
2013-01-16,1018204.5079834736
2013-01-17,1029023.4579204804
2013-01-18,1029516.470274495
2013-01-22,1034490.0309069111
2013-01-23,1039840.3246763479
2013-01-24,1052126.3164446184
2013-01-25,1061429.3084826944
2013-01-28,1055091.8232058727
2013-01-29,1058203.4747853975
2013-01-30,1062706.4185010241
2013-01-31,1054794.3136833792
2013-02-01,1064531.9119531524
2013-02-05,1071556.995583438
2013-02-06,1071506.4460795885
2013-02-07,1063809.697734141
2013-02-08,1069452.8398739828
2013-02-11,1067819.8761801796
2013-02-12,1072018.3386588914
2013-02-13,1074487.3837753255
2013-02-14,1075288.054268246
2013-02-15,1080162.1701864013
2013-02-19,1090468.5690185523
2013-02-20,1077353.0393050483
2013-02-21,1058470.112538304
2013-02-22,1068087.5872568092
2013-02-25,1044788.0106630501
2013-02-26,1074900.8269894654
2013-02-27,1086623.2095692202
2013-02-28,1089365.8388087403
2013-03-01,1094310.659190364
2013-03-05,1103137.1487113757
2013-03-06,1104651.483636265
2013-03-07,1105485.9638515504
2013-03-08,1112647.3040819236
2013-03-11,1111429.0577719207
2013-03-12,1105085.652085399
2013-03-13,1111480.8958128337
2013-03-14,1107694.9163125705
2013-03-15,1096421.910141539
2013-03-18,1098907.600189663
2013-03-19,1092304.6035651285
2013-03-20,1099557.2553961412
2013-03-21,1095835.5357251049
2013-03-22,1105010.9576358828
2013-03-25,1099813.2184565018
2013-03-26,1116930.6834158069
2013-03-27,1115180.219829916
2013-03-28,1119956.9128180768
2013-04-01,1115527.1350480546
2013-04-03,1103074.2052350363
2013-04-04,1108018.4024743887
2013-04-05,1100293.3562997347
2013-04-08,1101537.6769370537
2013-04-09,1102359.2601994004
2013-04-10,1111309.5402730054
2013-04-11,1116003.4038683272
2013-04-12,1120906.297630767
2013-04-15,1109682.3237852296
2013-04-16,1124600.0890822106
2013-04-17,1117306.520834583
2013-04-18,1124590.434786862
2013-04-19,1143728.7744372298
2013-04-22,1150759.62561601
2013-04-23,1171592.1424760206
2013-04-24,1142052.7720381324
2013-04-25,1145705.8213466413
2013-04-26,1146182.4256287278
2013-04-29,1151348.2835617827
2013-04-30,1145366.226735111
2013-05-01,1138911.6079938626
2013-05-03,1151600.0856432489
2013-05-06,1145573.0647054971
2013-05-07,1152091.2635290867
2013-05-08,1133714.8263493297
2013-05-09,1144174.3543001013
2013-05-10,1158260.258017132
2013-05-13,1152750.8811493565
2013-05-14,1168425.3029552845
2013-05-15,1184043.4551293433
2013-05-16,1181060.4034084915
2013-05-17,1193847.7098772947
2013-05-20,1180543.4364809901
2013-05-21,1185897.0339414936
2013-05-22,1186207.7931605147
2013-05-23,1179582.9086454376
2013-05-24,1167018.285415857
2013-05-28,1168429.4315491721
2013-05-29,1138501.1420413316
2013-05-30,1147210.2610473968
2013-05-31,1114523.5759117084
2013-06-03,1127232.6155749927
2013-06-05,1109357.8680282221
2013-06-06,1125857.5989475145
2013-06-07,1152507.294313621
2013-06-10,1145234.2108452125
2013-06-11,1131938.1393532923
2013-06-12,1117528.1253513047
2013-06-13,1130678.3769535068
2013-06-14,1128595.3177894228
2013-06-17,1142043.7239051703
2013-06-18,1152635.8698151393
2013-06-19,1140543.955187012
2013-06-20,1106340.4608600824
2013-06-21,1100754.216846306
2013-06-24,1090853.6879014072
2013-06-25,1097633.9286424231
2013-06-26,1114096.0063821352
2013-06-27,1130077.5837963165
2013-06-28,1130883.3151412546
2013-07-01,1145073.5527256965
2013-07-03,1146718.0600463445
2013-07-05,1165418.8089956362
2013-07-08,1179077.968502754
2013-07-09,1194510.33296002
2013-07-10,1190697.9751482867
2013-07-11,1203939.842186723
2013-07-12,1209406.1750182395
2013-07-15,1216054.794890254
2013-07-16,1180589.4480002066
2013-07-17,1208830.7251340228
2013-07-18,1211687.2983370698
2013-07-19,1209370.1381806547
2013-07-22,1213973.2926595567
2013-07-23,1212753.7343641054
2013-07-24,1204409.5754840744
2013-07-25,1202345.0405339396
2013-07-26,1206416.5026846721
2013-07-29,1211216.4513734826
2013-07-30,1207926.3003149014
2013-07-31,1214007.8381074637
2013-08-01,1221055.4987082218
2013-08-05,1253101.9236790629
2013-08-06,1241432.4557997533
2013-08-07,1222751.992824247
2013-08-08,1263270.6802497378
2013-08-09,1261086.0142263856
2013-08-12,1245324.1599497008
2013-08-13,1237113.3247961411
2013-08-14,1217453.1290955604
2013-08-15,1206603.7775556128
2013-08-16,1218687.2403427295
2013-08-19,1230802.9470092366
2013-08-20,1256044.5114509803
2013-08-21,1246328.6526707218
2013-08-22,1268656.9543304488
2013-08-23,1303208.4926936713
2013-08-26,1314832.6766627093
2013-08-27,1295171.8163256256
2013-08-28,1305510.5740148597
2013-08-29,1318594.4390888044
2013-08-30,1318360.582503164
2013-09-03,1331438.3341096195
2013-09-05,1342437.2367291674
2013-09-06,1351459.4150224554
2013-09-09,1350755.2399858646
2013-09-10,1360826.8793424473
2013-09-11,1376046.118774292
2013-09-12,1371179.914039519
2013-09-13,1372308.7542340623
2013-09-16,1364372.6780077075
2013-09-17,1390004.283421752
2013-09-18,1395518.2355459216
2013-09-19,1412198.069753463
2013-09-20,1431591.6968810977
