date,portfolio_value
2013-01-04,1001109.8175292652
2013-01-07,1000709.4214827596
2013-01-08,995463.7791613466
2013-01-09,1002051.3622938618
2013-01-10,1007915.1935763373
2013-01-11,1011065.3599842894
2013-01-14,1013092.7629713189
2013-01-15,1017705.3731681152
2013-01-16,1024342.6197390597
2013-01-17,1037039.07338686
2013-01-18,1045356.8328980125
2013-01-22,1041186.0056323925
2013-01-23,1055112.6026778452
2013-01-24,1057477.2578286533
2013-01-25,1070112.7736310354
2013-01-28,1066360.3045869456
2013-01-29,1070494.06796425
2013-01-30,1069467.4959877832
2013-01-31,1065001.7927366674
2013-02-01,1070808.952802902
2013-02-05,1076347.0573723346
2013-02-06,1079165.632631992
2013-02-07,1071531.1065646699
2013-02-08,1070922.2748966238
2013-02-11,1066747.9863772667
2013-02-12,1065403.4375731852
2013-02-13,1065949.706085269
2013-02-14,1077926.763264291
2013-02-15,1086932.8805529557
2013-02-19,1100501.6338207223
2013-02-20,1099151.668971418
2013-02-21,1096671.9643048535
2013-02-22,1096689.0493464526
2013-02-25,1078501.2774336082
2013-02-26,1085110.5396355034
2013-02-27,1088986.5132478294
2013-02-28,1088607.6555406689
2013-03-01,1099789.7265111841
2013-03-05,1098576.7838000825
2013-03-06,1099712.2412001134
2013-03-07,1099758.7074159079
2013-03-08,1101114.3847610166
2013-03-11,1103068.4882493604
2013-03-12,1099099.9663742322
2013-03-13,1099456.1077124705
2013-03-14,1103977.1221930413
2013-03-15,1104747.3376131298
2013-03-18,1100151.3690745295
2013-03-19,1103191.0419493953
2013-03-20,1110682.3395427235
2013-03-21,1103942.3575568069
2013-03-22,1118032.6447905973
2013-03-25,1116170.3872519326
2013-03-26,1132493.8286240227
2013-03-27,1131058.8031236683
2013-03-28,1138102.4911788756
2013-04-01,1142356.4250279632
2013-04-03,1134055.8169804316
2013-04-04,1144790.0070784236
2013-04-05,1138454.1250819294
2013-04-08,1144028.8554267369
2013-04-09,1151615.8697329445
2013-04-10,1162916.2208755245
2013-04-11,1166607.0029104843
2013-04-12,1170050.0982059608
2013-04-15,1151856.7186904866
2013-04-16,1168911.5328346256
2013-04-17,1162090.676378086
2013-04-18,1164835.6937881953
2013-04-19,1179707.0850622214
2013-04-22,1196140.3033764064
2013-04-23,1218624.5005569528
2013-04-24,1191073.4343380262
2013-04-25,1194267.2812133282
2013-04-26,1206303.3502161854
2013-04-29,1204104.6658246953
2013-04-30,1204313.2265887018
2013-05-01,1197907.0539633334
2013-05-03,1208413.2892461286
2013-05-06,1200887.4915659209
2013-05-07,1207560.879918215
2013-05-08,1197459.490091068
2013-05-09,1201931.0057090563
2013-05-10,1212370.6102549855
2013-05-13,1210048.8871684738
2013-05-14,1223180.153099968
2013-05-15,1238231.723986787
2013-05-16,1231497.3111276983
2013-05-17,1238357.8457992317
2013-05-20,1226755.5969514344
2013-05-21,1230316.8828944494
2013-05-22,1229640.4434738557
2013-05-23,1221346.4583143531
2013-05-24,1219995.3366928506
2013-05-28,1219930.2051457935
2013-05-29,1193510.1661947132
2013-05-30,1198108.301877265
2013-05-31,1173576.5875636972
2013-06-03,1185171.8702404893
2013-06-05,1174926.0733084008
2013-06-06,1183274.228039053
2013-06-07,1196119.5420129835
2013-06-10,1196887.0429495256
2013-06-11,1187903.309379046
2013-06-12,1175192.7804946152
2013-06-13,1184997.2655547485
2013-06-14,1184457.5221844788
2013-06-17,1191725.3714530554
2013-06-18,1200801.6558413901
2013-06-19,1184028.1398923064
2013-06-20,1147415.6989287673
2013-06-21,1164731.344064841
2013-06-24,1164959.9097989881
2013-06-25,1172895.2219010962
2013-06-26,1191031.5583869673
2013-06-27,1192337.488678031
2013-06-28,1174318.7606216436
2013-07-01,1184917.6701721363
2013-07-03,1182827.9778973195
2013-07-05,1193094.351915695
2013-07-08,1208916.204186397
2013-07-09,1214969.3276078699
2013-07-10,1219527.9182621194
2013-07-11,1231621.7339935547
2013-07-12,1247881.6331861503
2013-07-15,1244547.4676407757
2013-07-16,1227477.0140094399
2013-07-17,1237303.8488141303
2013-07-18,1242867.9232175373
2013-07-19,1251786.1260147314
2013-07-22,1253287.4972082446
2013-07-23,1246183.0999041402
2013-07-24,1236659.292702957
2013-07-25,1243415.1875681109
2013-07-26,1250601.5777061402
2013-07-29,1255248.1829101278
2013-07-30,1251711.792908993
2013-07-31,1255595.3436937002
2013-08-01,1260985.6434670403
2013-08-05,1262655.7242574317
2013-08-06,1260793.6001887855
2013-08-07,1254013.0289767627
2013-08-08,1266385.2636231037
2013-08-09,1258288.5076447583
2013-08-12,1255556.3080841654
2013-08-13,1253290.235387158
2013-08-14,1236906.3110490148
2013-08-15,1216346.8367231209
2013-08-16,1214932.7584111379
2013-08-19,1224384.2485060287
2013-08-20,1223419.374892122
2013-08-21,1212908.6252555803
2013-08-22,1221665.4344246082
