date,portfolio_value
2013-01-04,999748.4518571936
2013-01-07,999772.5857977977
2013-01-08,994492.1356230258
2013-01-09,997651.7860367852
2013-01-10,1004227.4953260733
2013-01-11,1005955.5864288968
2013-01-14,1008701.8050680172
2013-01-15,1014150.9927749278
2013-01-16,1021249.1155306256
2013-01-17,1033012.5212751214
2013-01-18,1040904.8376420855
2013-01-22,1036900.5987004853
2013-01-23,1051649.6431940745
2013-01-24,1055285.7427322266
2013-01-25,1069531.7202821549
2013-01-28,1062771.699011208
2013-01-29,1066993.2351821898
2013-01-30,1066651.8588513008
2013-01-31,1060970.9693986261
2013-02-01,1070149.3168322695
2013-02-05,1074508.294514063
2013-02-06,1076644.5723775553
2013-02-07,1067887.86313733
2013-02-08,1068333.7408393996
2013-02-11,1063988.059544654
2013-02-12,1064489.8738333127
2013-02-13,1066648.9522432035
2013-02-14,1077570.4560653544
2013-02-15,1086265.8221879823
2013-02-19,1098340.9821161733
2013-02-20,1094405.581512923
2013-02-21,1087155.1143079381
2013-02-22,1089245.245130842
2013-02-25,1067017.9262175842
2013-02-26,1080065.8723963983
2013-02-27,1085056.8388811331
2013-02-28,1085596.0080181556
2013-03-01,1096289.8983030478
2013-03-05,1095714.6302393465
2013-03-06,1098197.8900149313
2013-03-07,1096503.2584511056
2013-03-08,1099722.9042154374
2013-03-11,1100733.973005017
2013-03-12,1094791.9372849334
2013-03-13,1097788.044296236
2013-03-14,1100940.7643487197
2013-03-15,1100099.1229830594
2013-03-18,1097397.944754366
2013-03-19,1098138.5142784358
2013-03-20,1106368.770532474
2013-03-21,1099540.9575641092
2013-03-22,1112586.4560025688
2013-03-25,1109766.4515163624
2013-03-26,1128420.0188478439
2013-03-27,1124778.8069058887
2013-03-28,1132763.9399740812
2013-04-01,1134283.3449643098
2013-04-03,1124285.6276407235
2013-04-04,1134275.929841127
2013-04-05,1126744.0252373763
2013-04-08,1131875.7806305303
2013-04-09,1140344.458250268
2013-04-10,1151733.523075082
2013-04-11,1156523.5230898706
2013-04-12,1161209.312223019
2013-04-15,1142193.6099670676
2013-04-16,1159130.545624698
2013-04-17,1152790.5098560145
2013-04-18,1154367.9379262854
2013-04-19,1168787.8589095066
2013-04-22,1187597.6103421596
2013-04-23,1215732.3194652672
2013-04-24,1193460.625732764
2013-04-25,1196225.9607253438
2013-04-26,1207544.043634053
2013-04-29,1206016.332498042
2013-04-30,1207119.1913614993
2013-05-01,1198506.7452591886
2013-05-03,1208610.8710545534
2013-05-06,1202113.567813269
2013-05-07,1207172.4408591064
2013-05-08,1197647.6983034795
2013-05-09,1206618.427961899
2013-05-10,1217888.682913071
2013-05-13,1219079.533562174
2013-05-14,1231820.944428838
2013-05-15,1248122.417614638
