date,portfolio_value
2013-01-04,1001375.5206418993
2013-01-07,1002310.6343950732
2013-01-08,995836.4642292553
2013-01-09,1003444.478632872
2013-01-10,1009356.2336773423
2013-01-11,1013613.9296151636
2013-01-14,1014416.0087729124
2013-01-15,1018253.8486569857
2013-01-16,1024399.5771516993
2013-01-17,1034901.628854345
2013-01-18,1042588.813412163
2013-01-22,1038751.5635927517
2013-01-23,1050402.7529225464
2013-01-24,1051195.6747766123
2013-01-25,1059996.293336122
2013-01-28,1059661.593949983
2013-01-29,1064509.648262677
2013-01-30,1062870.193298357
2013-01-31,1060149.1499563402
2013-02-01,1063669.8757136702
2013-02-05,1071946.3631436185
2013-02-06,1075585.2788674352
2013-02-07,1069186.168700076
2013-02-08,1067765.9114385403
2013-02-11,1063407.2094849152
2013-02-12,1055961.6900005424
2013-02-13,1054127.868036821
2013-02-14,1065404.0927886355
2013-02-15,1073621.35334552
2013-02-19,1085458.2426741011
2013-02-20,1086939.0725104348
2013-02-21,1086965.2747752583
2013-02-22,1087745.1199548275
2013-02-25,1076374.9393628095
2013-02-26,1078308.0325107789
2013-02-27,1078955.3342738526
2013-02-28,1079817.3358895325
2013-03-01,1091325.3830119162
2013-03-05,1088825.5492015847
2013-03-06,1091267.0977988353
2013-03-07,1094068.8338660635
2013-03-08,1094702.2785801585
2013-03-11,1098197.0161835465
2013-03-12,1094238.955860835
2013-03-13,1091960.6733803814
2013-03-14,1096802.2801021368
2013-03-15,1099054.353912816
2013-03-18,1092543.1805015698
2013-03-19,1097195.0289024601
2013-03-20,1103603.390383447
2013-03-21,1097861.6865507748
2013-03-22,1110014.8296600874
2013-03-25,1107861.322506063
2013-03-26,1120803.858933956
2013-03-27,1122012.4758208261
2013-03-28,1127981.1053579804
2013-04-01,1132309.429105466
2013-04-03,1128370.859832058
2013-04-04,1143359.3310481512
2013-04-05,1140082.7588235654
2013-04-08,1146103.1292377955
2013-04-09,1150643.5090937153
2013-04-10,1165402.4366685855
2013-04-11,1169733.3428599162
2013-04-12,1171521.0272728214
2013-04-15,1149030.8717792933
2013-04-16,1168839.8995814724
2013-04-17,1162419.6851622937
2013-04-18,1159915.8132910174
2013-04-19,1168985.2958424937
2013-04-22,1182905.4210645133
2013-04-23,1197033.3064215027
2013-04-24,1177272.515800107
2013-04-25,1179262.1702900683
2013-04-26,1193211.513395589
2013-04-29,1192297.5100661875
2013-04-30,1196649.2552724262
2013-05-01,1189782.983123949
2013-05-03,1197834.4882635276
2013-05-06,1189412.8775422247
2013-05-07,1193844.1986116346
2013-05-08,1183310.2539965115
2013-05-09,1184639.4108059912
2013-05-10,1192616.9949665784
2013-05-13,1189412.616251254
2013-05-14,1202123.0518993116
2013-05-15,1213603.0877986194
2013-05-16,1207286.183686065
2013-05-17,1213732.3793367813
2013-05-20,1200080.5857755127
2013-05-21,1202940.172933308
2013-05-22,1201459.2624922604
2013-05-23,1194370.236367462
2013-05-24,1191810.0482795653
2013-05-28,1191773.292613118
2013-05-29,1162852.6136580943
2013-05-30,1168987.7457848391
2013-05-31,1144727.4854934504
2013-06-03,1156242.9797707433
2013-06-05,1142927.181676286
2013-06-06,1149543.9516587118
2013-06-07,1162697.0831023473
2013-06-10,1167579.4698990844
2013-06-11,1159495.3635400792
2013-06-12,1148823.9728082574
2013-06-13,1155604.0191197444
2013-06-14,1154002.9582140353
2013-06-17,1158882.4993193918
2013-06-18,1167814.928029884
2013-06-19,1152150.7040986111
2013-06-20,1118409.5601394302
2013-06-21,1140312.779253213
2013-06-24,1134854.4896330363
2013-06-25,1142918.773163719
2013-06-26,1157515.8429247006
2013-06-27,1159966.412088076
2013-06-28,1143652.3942792814
2013-07-01,1151125.908705764
2013-07-03,1151235.6207050893
2013-07-05,1155572.0762191825
2013-07-08,1170058.93919478
2013-07-09,1175599.738751591
2013-07-10,1180915.8662680935
2013-07-11,1191826.4225170275
2013-07-12,1203326.477558458
2013-07-15,1200353.2710319846
2013-07-16,1192683.8239962852
2013-07-17,1195884.4101613855
2013-07-18,1200691.7320417725
2013-07-19,1206702.7264320762
2013-07-22,1205265.9834355568
2013-07-23,1200413.9052018088
2013-07-24,1194649.072895878
2013-07-25,1223821.4879811308
2013-07-26,1227203.1192692837
2013-07-29,1231822.848887101
2013-07-30,1235633.9472497576
2013-07-31,1235513.4214061291
2013-08-01,1242563.2780241154
2013-08-05,1240737.1795347403
2013-08-06,1239623.224475541
2013-08-07,1236505.227795674
2013-08-08,1238535.5400254827
2013-08-09,1231418.1389808012
2013-08-12,1231188.6925515204
2013-08-13,1228182.2303869298
2013-08-14,1218729.5794358612
2013-08-15,1195966.465705586
2013-08-16,1191520.728002533
2013-08-19,1196833.1432771678
2013-08-20,1191730.8800007342
2013-08-21,1182508.7945314343
2013-08-22,1187894.470951239
2013-08-23,1197360.9021678118
2013-08-26,1193386.4425665732
2013-08-27,1179394.7034848745
2013-08-28,1180920.2675803923
2013-08-29,1182246.4558987613
2013-08-30,1184207.0917494362
2013-09-03,1184643.0763504815
2013-09-05,1186568.3876863832
2013-09-06,1192413.8498956705
2013-09-09,1201930.728842047
2013-09-10,1206470.726415954
2013-09-11,1211782.740714133
2013-09-12,1208772.1514355456
2013-09-13,1212681.0952821192
2013-09-16,1221828.0553522639
2013-09-17,1239129.9212303017
2013-09-18,1252393.9379427014
2013-09-19,1245664.9921284553
2013-09-20,1245757.6772452174
2013-09-23,1239911.4517996751
2013-09-24,1229703.6813206149
2013-09-25,1219052.5466253955
2013-09-26,1221014.3513837222
2013-09-27,1211556.5512177378
2013-09-30,1205205.8876120306
2013-10-01,1215131.8721530144
2013-10-03,1209638.8676479151
2013-10-04,1217850.0825927523
2013-10-07,1206930.423759327
2013-10-08,1194291.8365895452
2013-10-09,1197508.508726048
2013-10-10,1223124.987385328
2013-10-11,1227271.0420630255
2013-10-14,1233949.3104041584
2013-10-15,1226822.2382305658
2013-10-16,1248831.3896934856
2013-10-17,1263137.5897232206
2013-10-18,1266889.9301678063
2013-10-21,1262376.8472270072
2013-10-22,1275693.926880221
2013-10-23,1268442.1263075788
2013-10-24,1266634.9487076662
2013-10-25,1274869.7768690188
2013-10-28,1283868.77181323
2013-10-29,1290817.5387415034
2013-10-30,1279978.0074199538
2013-10-31,1276562.3904739085
2013-11-01,1284093.170698638
2013-11-05,1282920.02113884
2013-11-06,1291442.0626720146
2013-11-07,1276229.5810070536
2013-11-08,1286562.4110112386
2013-11-11,1290217.726363143
2013-11-12,1284186.5583328994
2013-11-13,1292211.5595530327
2013-11-14,1297046.6159131997
2013-11-15,1299392.095820651
2013-11-18,1298712.075872712
2013-11-19,1296434.055913604
2013-11-20,1291503.448674853
2013-11-21,1298370.207356915
2013-11-22,1305251.256965642
2013-11-25,1303590.1331562835
2013-11-26,1302060.69118797
2013-11-27,1301219.2847827584
2013-11-29,1304372.340036894
2013-12-02,1298547.276402307
2013-12-04,1293988.2621143858
2013-12-05,1287839.779790802
2013-12-06,1309140.041008705
2013-12-09,1307262.6406294042
2013-12-10,1308648.0734392242
2013-12-11,1310490.8233047563
2013-12-12,1298431.7091772328
2013-12-13,1298787.8298522388
2013-12-16,1306087.7819811797
2013-12-17,1301701.737675906
2013-12-18,1319561.4345013252
2013-12-19,1303469.9514687257
2013-12-20,1307492.466102259
2013-12-23,1312306.8914981943
2013-12-24,1312211.155868065
2013-12-26,1319801.7569083385
2013-12-27,1315566.0390021107
2013-12-30,1317565.2783138761
2013-12-31,1316634.2679362246
2014-01-02,1305277.8656178915
2014-01-06,1295182.1915204627
2014-01-07,1304287.6745866889
2014-01-08,1297583.6514314162
2014-01-09,1301967.8090808548
2014-01-10,1302641.0291277217
2014-01-13,1289097.7950878185
2014-01-14,1301065.411641145
2014-01-15,1299636.1225386914
2014-01-16,1299576.2463914468
2014-01-17,1288272.7227903642
2014-01-21,1292213.35566342
2014-01-22,1283336.8698157526
2014-01-23,1276198.478460137
2014-01-24,1258937.9921014793
2014-01-27,1249786.3248200717
2014-01-28,1257029.071628216
2014-01-29,1241236.0473965695
2014-01-30,1259218.3625605416
2014-01-31,1263759.1372411866
2014-02-03,1234928.1818999148
2014-02-05,1237398.699334766
2014-02-06,1244650.652896274
2014-02-07,1261337.366159512
2014-02-10,1268523.8310744346
2014-02-11,1279926.0515611127
2014-02-12,1281496.911679153
2014-02-13,1282119.3307504745
2014-02-14,1286489.5094483057
2014-02-18,1285080.766065224
2014-02-19,1277380.243760851
2014-02-20,1282463.9255788452
2014-02-21,1276880.424678047
2014-02-24,1279440.9176060837
2014-02-25,1279366.2115031749
2014-02-26,1279809.825631283
2014-02-27,1283442.0965502756
2014-02-28,1287836.9144066288
2014-03-03,1274845.2559698361
2014-03-05,1276959.5271810265
2014-03-06,1280977.91539204
2014-03-07,1278464.8675996338
2014-03-10,1281386.004877229
2014-03-11,1292887.1603463148
2014-03-12,1293607.3473701042
2014-03-13,1283044.2375729494
2014-03-14,1277226.241174631
2014-03-17,1289344.879463469
2014-03-18,1296630.4102277749
2014-03-19,1288840.3908994226
2014-03-20,1295898.0489014725
2014-03-21,1296916.1641414182
2014-03-24,1286451.2497055726
2014-03-25,1294201.3426075268
2014-03-26,1286714.315608668
2014-03-27,1288346.7426105791
2014-03-28,1286323.8404222312
2014-03-31,1295147.4265861285
2014-04-01,1300796.0556445478
2014-04-03,1299923.5329308165
2014-04-04,1289494.8508657645
2014-04-07,1281766.4034678515
2014-04-08,1278876.1813490116
2014-04-09,1295075.539557848
2014-04-10,1267385.405220239
2014-04-11,1260908.6026056153
2014-04-14,1268283.104509726
2014-04-15,1280775.8124684482
2014-04-16,1287175.146393373
2014-04-17,1292421.3966824873
2014-04-21,1300841.4207363715
2014-04-22,1303131.0823724123
2014-04-23,1303139.2923198342
2014-04-24,1305328.0106656277
2014-04-25,1305181.8536962266
2014-04-28,1326250.3816102303
2014-04-29,1329545.2700988282
2014-04-30,1335501.4303674956
2014-05-01,1331726.5713385746
2014-05-05,1333116.028928039
2014-05-06,1322270.8866920639
2014-05-07,1341121.012974474
2014-05-08,1337344.9675388657
2014-05-09,1343776.7392687462
2014-05-12,1344080.8784003102
2014-05-13,1346414.821050329
2014-05-14,1345871.4657306867
2014-05-15,1332947.7115411859
2014-05-16,1338578.5806429689
2014-05-19,1341443.0071777296
2014-05-20,1333271.750920213
2014-05-21,1338589.6662346018
2014-05-22,1338815.8435358463
2014-05-23,1341778.0847430143
2014-05-27,1345522.6322497649
2014-05-28,1343649.3995713482
2014-05-29,1350960.290855741
2014-05-30,1357800.4844460252
2014-06-02,1356520.0458460802
2014-06-04,1361105.7680580777
2014-06-05,1367620.3752669329
2014-06-06,1364984.5536684685
2014-06-09,1358153.4064351704
2014-06-10,1361494.4461451147
2014-06-11,1357869.7419286473
2014-06-12,1347816.6412571578
2014-06-13,1349794.1919835913
2014-06-16,1351917.0945876907
2014-06-17,1352041.2003735907
2014-06-18,1362663.8737997415
2014-06-19,1366443.225210553
2014-06-20,1360132.7607074848
2014-06-23,1360068.203359993
2014-06-24,1356637.588709402
2014-06-25,1368307.544186235
2014-06-26,1372530.8346435642
2014-06-27,1375839.5687041988
2014-06-30,1372788.957124425
2014-07-01,1379628.125380399
2014-07-03,1382829.0332429397
2014-07-07,1379371.6031356826
2014-07-08,1369401.6630959676
2014-07-09,1374552.5179375205
2014-07-10,1377280.1828903535
2014-07-11,1372939.7152856686
2014-07-14,1377675.1595756523
2014-07-15,1365325.1512392294
2014-07-16,1363932.71412133
2014-07-17,1353993.0589665377
2014-07-18,1369067.2424452214
2014-07-21,1358970.962492284
2014-07-22,1354309.030633663
2014-07-23,1361234.3789540771
2014-07-24,1363184.2392539126
2014-07-25,1356723.8393216913
2014-07-28,1357493.6782221121
2014-07-29,1350433.7396022258
2014-07-30,1347033.0649626718
2014-07-31,1323652.6569260848
2014-08-01,1328016.2497107156
2014-08-05,1320346.691231152
