date,portfolio_value
2013-01-04,1003378.9437749048
2013-01-07,1001780.3261306339
2013-01-08,1001745.0537515403
2013-01-09,1008158.9450856237
2013-01-10,1018424.9550956957
2013-01-11,1016002.0168485144
2013-01-14,1018897.3483159634
2013-01-15,1016099.9976712897
2013-01-16,1019522.4552167805
2013-01-17,1026785.3683824784
2013-01-18,1025960.1194584997
2013-01-22,1028541.3216642292
2013-01-23,1033408.8722499796
2013-01-24,1027963.0347056687
2013-01-25,1031830.4347080624
2013-01-28,1028455.5626169181
2013-01-29,1041319.5053987447
2013-01-30,1040686.8383573666
2013-01-31,1032985.7848401043
2013-02-01,1040530.056092064
2013-02-05,1049137.976549989
2013-02-06,1051792.9261600918
2013-02-07,1047255.3839605924
2013-02-08,1048250.434606894
2013-02-11,1049146.0147260714
2013-02-12,1050602.4435034536
2013-02-13,1052880.2651103423
2013-02-14,1057166.8956099434
2013-02-15,1057701.55802127
2013-02-19,1073116.737414846
2013-02-20,1064610.1974939262
2013-02-21,1060713.2158326283
2013-02-22,1060589.263019917
2013-02-25,1044488.0418017124
2013-02-26,1052394.9989813839
2013-02-27,1062846.733681458
2013-02-28,1060457.4392297375
2013-03-01,1065970.907713117
2013-03-05,1072480.8118459075
2013-03-06,1071673.587768889
2013-03-07,1073318.5395474627
2013-03-08,1076746.2031905365
2013-03-11,1077588.0485988548
2013-03-12,1075192.6163503753
2013-03-13,1076179.4051027116
2013-03-14,1081270.7897599803
2013-03-15,1076419.0902276954
2013-03-18,1073659.5443991192
2013-03-19,1077345.6435003637
2013-03-20,1082392.7915675526
2013-03-21,1077409.6052683908
2013-03-22,1091107.520294445
2013-03-25,1085139.6768437722
2013-03-26,1098268.4386500667
2013-03-27,1095480.0536744238
2013-03-28,1099894.1406586312
2013-04-01,1102505.376276047
2013-04-03,1094419.5251948775
2013-04-04,1105649.899230016
2013-04-05,1099427.3404475127
2013-04-08,1108148.8752958337
2013-04-09,1114127.34612381
2013-04-10,1125395.3888514515
2013-04-11,1128255.5991771927
2013-04-12,1131154.9988736324
2013-04-15,1112122.157593597
2013-04-16,1132289.3717825348
2013-04-17,1126592.8835581937
2013-04-18,1128408.336590988
2013-04-19,1142895.795849893
2013-04-22,1156714.2921928929
2013-04-23,1172546.4541307022
2013-04-24,1145224.4677844436
2013-04-25,1148096.5131708016
2013-04-26,1159334.6799074607
2013-04-29,1156915.8904535116
2013-04-30,1157266.3785203951
2013-05-01,1152573.9083391724
2013-05-03,1162581.7893472344
2013-05-06,1156082.0208729084
2013-05-07,1162898.1580917719
2013-05-08,1154363.880065304
2013-05-09,1157469.223833114
2013-05-10,1167322.3759030837
2013-05-13,1163094.9477825318
2013-05-14,1175580.0229271755
2013-05-15,1190163.340031814
2013-05-16,1184115.6063419457
2013-05-17,1189613.1525549057
2013-05-20,1176517.105595148
2013-05-21,1178946.813875986
2013-05-22,1179810.0213111257
2013-05-23,1172565.1112190501
2013-05-24,1177297.558357013
2013-05-28,1175683.8814751243
2013-05-29,1149214.686091949
2013-05-30,1153465.0339092626
2013-05-31,1127326.547523807
2013-06-03,1139585.3748000776
2013-06-05,1128282.9893260016
2013-06-06,1136043.1617423757
2013-06-07,1144414.726147924
2013-06-10,1145699.755879625
2013-06-11,1134701.2370027227
2013-06-12,1125880.4297906202
2013-06-13,1139845.4999904553
2013-06-14,1137679.494385117
2013-06-17,1143931.650422697
2013-06-18,1150916.7601615156
2013-06-19,1138568.6115422298
2013-06-20,1106703.5172061413
2013-06-21,1113220.5634428796
2013-06-24,1111722.8420437337
2013-06-25,1113230.2957140633
2013-06-26,1129809.2837117028
2013-06-27,1134996.2713300977
2013-06-28,1128199.3031483947
2013-07-01,1130994.719762218
2013-07-03,1133259.9390189624
2013-07-05,1143959.1810390241
2013-07-08,1156421.236994899
2013-07-09,1163178.935765656
2013-07-10,1164144.4998580392
2013-07-11,1179403.7715058692
2013-07-12,1182413.2756287218
2013-07-15,1184305.713474698
2013-07-16,1183445.2926696471
2013-07-17,1179969.653310212
2013-07-18,1186092.1473368348
2013-07-19,1173528.1590452378
2013-07-22,1180707.0352432295
2013-07-23,1180541.8587114725
2013-07-24,1179340.3763458822
2013-07-25,1174187.1633106929
2013-07-26,1175409.7970399898
2013-07-29,1174903.3696397867
2013-07-30,1174303.145424989
2013-07-31,1179161.7061754535
2013-08-01,1184140.2267612524
2013-08-05,1186045.2298413476
2013-08-06,1176368.6472078308
2013-08-07,1170470.3194842543
2013-08-08,1173011.9197592994
2013-08-09,1167042.5774056034
2013-08-12,1165764.4659272148
2013-08-13,1166678.2777511114
2013-08-14,1147370.1221246219
2013-08-15,1130129.2248278926
2013-08-16,1132106.2605184212
2013-08-19,1139101.816982242
2013-08-20,1141457.8640857115
2013-08-21,1130977.85378091
2013-08-22,1133679.2695223605
2013-08-23,1143252.103216016
2013-08-26,1147893.0337509667
2013-08-27,1126797.799644865
2013-08-28,1132691.20169638
2013-08-29,1140109.4201608596
2013-08-30,1137404.7603209328
2013-09-03,1143502.9114354046
2013-09-05,1146386.2714427265
2013-09-06,1152347.1602637281
2013-09-09,1158293.9794273106
2013-09-10,1164118.4890895106
2013-09-11,1175607.9498010639
2013-09-12,1172726.7068934122
2013-09-13,1171677.5791036224
2013-09-16,1173967.7262435528
2013-09-17,1182468.2540768615
2013-09-18,1187793.747583396
2013-09-19,1185945.6597622312
2013-09-20,1183203.3532993253
2013-09-23,1178313.381189144
2013-09-24,1177810.7578172737
2013-09-25,1176536.205187913
2013-09-26,1181290.0374987477
2013-09-27,1181590.0043692996
2013-09-30,1171519.773592426
2013-10-01,1186053.8905310668
2013-10-03,1179998.8484664473
2013-10-04,1190740.5745651901
2013-10-07,1179578.1376339335
2013-10-08,1154420.6585199514
2013-10-09,1152355.7827177478
2013-10-10,1178746.9986088437
2013-10-11,1181879.0982918893
2013-10-14,1186495.2365723988
2013-10-15,1180216.6443943772
2013-10-16,1198667.0323149387
2013-10-17,1206808.2115851126
2013-10-18,1219461.2586872468
2013-10-21,1216456.3645331701
2013-10-22,1219563.5643075788
2013-10-23,1214445.6713241613
2013-10-24,1215839.652226416
2013-10-25,1224446.853641525
2013-10-28,1213183.3585424118
2013-10-29,1222151.4307440568
2013-10-30,1211308.5511972995
2013-10-31,1212551.7638483553
2013-11-01,1213246.9759698326
2013-11-05,1213286.690064052
2013-11-06,1221356.5743358133
2013-11-07,1205565.6207926807
2013-11-08,1219078.2298775879
2013-11-11,1219155.599390039
2013-11-12,1211296.3250155372
2013-11-13,1220854.1213042173
2013-11-14,1227109.8746222213
2013-11-15,1230398.687352358
2013-11-18,1225484.7804837562
2013-11-19,1222135.0021251605
2013-11-20,1220359.899528884
2013-11-21,1228502.1701062096
2013-11-22,1233808.517779967
2013-11-25,1228452.7799130166
2013-11-26,1225471.2328969752
2013-11-27,1225039.6004075594
2013-11-29,1226515.1076046375
2013-12-02,1222221.960728243
2013-12-04,1222763.8307107727
2013-12-05,1218403.3990979947
2013-12-06,1235842.2167028044
2013-12-09,1238948.1156370877
2013-12-10,1246623.588252069
2013-12-11,1239475.0059203245
2013-12-12,1231092.6046122874
2013-12-13,1231073.8894017464
2013-12-16,1240364.3131010013
2013-12-17,1237107.2042604615
2013-12-18,1258978.0909203654
2013-12-19,1245054.65039876
2013-12-20,1245319.3232997702
2013-12-23,1254439.6606265886
2013-12-24,1254734.2697138246
2013-12-26,1262331.5974866021
2013-12-27,1255634.6338578335
2013-12-30,1254440.8081663982
2013-12-31,1253872.9121814857
2014-01-02,1241625.2376458354
2014-01-06,1227399.7194876971
2014-01-07,1235269.6808272526
2014-01-08,1233310.5742315596
2014-01-09,1234245.6843278885
2014-01-10,1232761.6116760215
2014-01-13,1214629.463986768
2014-01-14,1230570.386025476
2014-01-15,1233143.267612654
2014-01-16,1232551.5362408522
2014-01-17,1222251.0990668142
2014-01-21,1229113.395828387
2014-01-22,1223272.2488524443
2014-01-23,1217689.3982209826
2014-01-24,1195853.4552600954
2014-01-27,1183563.2711646226
2014-01-28,1190411.7636040137
2014-01-29,1178630.7567401011
2014-01-30,1201911.8764793521
2014-01-31,1215556.9266234576
2014-02-03,1181235.4678878908
2014-02-05,1174561.6548903685
2014-02-06,1182128.243001226
2014-02-07,1199779.6080473152
2014-02-10,1204454.816091913
2014-02-11,1218556.8439817817
2014-02-12,1220440.133338706
2014-02-13,1228156.6438186225
2014-02-14,1236071.0262307609
2014-02-18,1242574.4777523817
2014-02-19,1234966.65444277
2014-02-20,1248850.162876114
2014-02-21,1243932.4903407032
2014-02-24,1250956.5386275996
2014-02-25,1253433.1198747526
2014-02-26,1256190.47281348
2014-02-27,1260672.5360597568
2014-02-28,1264618.0994977567
2014-03-03,1252139.339443528
2014-03-05,1252741.8928374785
2014-03-06,1252167.5294833907
2014-03-07,1252343.0640115063
2014-03-10,1254913.724387584
2014-03-11,1247432.8875459067
2014-03-12,1247924.2921977183
2014-03-13,1231075.027558741
2014-03-14,1228378.147820026
2014-03-17,1242693.615902444
2014-03-18,1250825.2275717203
2014-03-19,1244595.682391966
2014-03-20,1248638.022321804
2014-03-21,1253958.227078332
2014-03-24,1237000.0482338
2014-03-25,1252799.813361399
2014-03-26,1246031.2857823556
2014-03-27,1241284.74329296
2014-03-28,1243428.343827367
2014-03-31,1253818.318878009
2014-04-01,1256473.3032954352
2014-04-03,1253462.4809583973
2014-04-04,1238634.2407014607
2014-04-07,1219932.164705728
2014-04-08,1210685.2466150054
2014-04-09,1238010.1279398324
2014-04-10,1196141.62920339
2014-04-11,1190064.5233052857
2014-04-14,1194805.7946218885
2014-04-15,1211159.8742813088
2014-04-16,1215997.795412672
2014-04-17,1218971.5849476887
2014-04-21,1234617.6402347786
2014-04-22,1241904.7737593916
2014-04-23,1239214.6906050676
2014-04-24,1232339.556543917
2014-04-25,1226958.5061461052
2014-04-28,1246462.239984901
2014-04-29,1255186.932397388
2014-04-30,1259485.531525714
2014-05-01,1257485.5718430516
2014-05-05,1266469.486043675
2014-05-06,1252045.2783220313
2014-05-07,1266052.892174431
2014-05-08,1256097.5632863871
2014-05-09,1260337.200240361
2014-05-12,1266129.2821828022
2014-05-13,1269112.1461061847
2014-05-14,1272874.9922668373
2014-05-15,1264439.3365725726
2014-05-16,1269073.662856094
2014-05-19,1280067.5215970436
2014-05-20,1272880.8986397968
2014-05-21,1281840.9396025601
2014-05-22,1285606.019009556
2014-05-23,1290448.8299082352
2014-05-27,1294435.7479097925
2014-05-28,1291886.5070007835
2014-05-29,1300955.6146992298
2014-05-30,1306030.3925902338
2014-06-02,1305590.389606719
2014-06-04,1308560.4698941603
2014-06-05,1317144.9936653795
2014-06-06,1315413.7332759418
2014-06-09,1310348.7057614687
2014-06-10,1319304.3461914402
2014-06-11,1315820.409790454
2014-06-12,1304081.5712675094
2014-06-13,1306208.930937167
2014-06-16,1307201.5915277577
2014-06-17,1306481.91786716
2014-06-18,1319162.3825967389
2014-06-19,1322972.202310864
2014-06-20,1318571.598135789
2014-06-23,1316998.994772471
2014-06-24,1312205.2889036254
2014-06-25,1329886.433887273
2014-06-26,1338497.5950069192
2014-06-27,1338818.415586484
2014-06-30,1338827.444283213
2014-07-01,1347655.007727523
2014-07-03,1349235.4721115357
2014-07-07,1346403.6559015617
2014-07-08,1329050.3155061996
2014-07-09,1329795.3267498394
2014-07-10,1332555.5066642673
2014-07-11,1329706.9733868132
2014-07-14,1334105.679190454
2014-07-15,1315737.087238279
2014-07-16,1317499.4688520166
2014-07-17,1304880.4113998886
2014-07-18,1326714.6075950272
2014-07-21,1317610.9073078248
2014-07-22,1327044.109161602
2014-07-23,1333250.2083288666
2014-07-24,1333894.1168481302
2014-07-25,1328555.6229705822
2014-07-28,1330743.6512585946
2014-07-29,1326598.6510849684
2014-07-30,1327366.4154906531
2014-07-31,1297038.7716921468
2014-08-01,1296328.728667259
2014-08-05,1283612.563109887
2014-08-06,1283245.5529799694
2014-08-07,1280273.2853237228
2014-08-08,1291522.479337883
2014-08-11,1302307.3606591353
2014-08-12,1298865.6558447494
2014-08-13,1312917.0011209797
2014-08-14,1320962.0991594912
2014-08-15,1319219.1530296225
2014-08-18,1325085.5238198473
2014-08-19,1336228.009494535
2014-08-20,1337676.3443455456
2014-08-21,1334190.7845704018
2014-08-22,1335710.0554061106
2014-08-25,1348575.0463061754
2014-08-26,1347407.570244456
2014-08-27,1347435.7780636102
2014-08-28,1346461.4543182354
2014-08-29,1347024.562703739
2014-09-02,1346236.8786461663
2014-09-04,1341655.175152602
2014-09-05,1353096.963346263
2014-09-08,1352015.8632186768
2014-09-09,1354219.123481242
2014-09-10,1360308.2310626549
2014-09-11,1363127.896256709
2014-09-12,1355672.1611538283
2014-09-15,1355894.6831127661
2014-09-16,1370121.9755593182
2014-09-17,1376426.7751869666
2014-09-18,1379297.511921494
2014-09-19,1381459.3527758452
2014-09-22,1375934.4167363371
2014-09-23,1365470.3202638526
2014-09-24,1378963.4422837498
2014-09-25,1356544.7092483868
2014-09-26,1368918.166006725
2014-09-29,1364726.6421504116
2014-09-30,1359756.0664551433
2014-10-01,1346362.1726450182
2014-10-03,1363899.2613654719
2014-10-06,1361228.7719976804
2014-10-07,1346996.2166878926
2014-10-08,1373742.2756989812
2014-10-09,1353012.542537708
2014-10-10,1349040.9487496356
2014-10-13,1326449.7666081353
2014-10-14,1316913.8217481931
2014-10-15,1307651.9587642045
2014-10-16,1291463.1267037233
2014-10-17,1309282.6850205003
2014-10-20,1327068.0788288286
2014-10-21,1336007.9593103598
2014-10-22,1341500.2900144663
2014-10-23,1357914.1178218017
2014-10-24,1369750.3758846337
2014-10-27,1369323.477472062
2014-10-28,1375768.7571934944
2014-10-29,1373947.6445923997
2014-10-30,1388381.3543047167
2014-10-31,1404664.5877419966
2014-11-03,1403994.6089096372
2014-11-05,1408988.835933227
2014-11-06,1415187.8572530793
2014-11-07,1408080.7286995111
2014-11-10,1418419.3567982167
2014-11-11,1422974.090518185
2014-11-12,1423674.7574457142
2014-11-13,1430417.7596941504
2014-11-14,1425225.2662888286
2014-11-17,1431718.8441278054
2014-11-18,1438061.0686824024
2014-11-19,1432248.0435034633
2014-11-20,1432218.391164832
2014-11-21,1440922.2008949644
2014-11-24,1441736.4657097196
2014-11-25,1438576.9579291006
2014-11-26,1448317.0950091947
2014-11-28,1460358.4435196512
2014-12-01,1452603.462471223
2014-12-03,1443581.9544802136
2014-12-04,1444547.5682709173
2014-12-05,1448367.785196232
2014-12-08,1447040.2635784415
2014-12-09,1441099.0836876198
2014-12-10,1424007.5818141613
2014-12-11,1428043.5648610129
2014-12-12,1405496.1786436671
2014-12-15,1398047.4201742942
2014-12-16,1382264.895994726
2014-12-17,1405092.7142712
2014-12-18,1435010.6003296825
2014-12-19,1435257.7207276537
2014-12-22,1446320.3028108717
2014-12-23,1438869.7010383557
2014-12-24,1439837.2967594413
2014-12-26,1444699.4534728185
2014-12-29,1441672.9266396582
2014-12-30,1434942.8521903444
2014-12-31,1417367.3839359358
2015-01-02,1414239.2057797436
2015-01-06,1413011.1683304715
2015-01-07,1441366.3283056892
2015-01-08,1470146.2434836382
2015-01-09,1456493.7375290738
2015-01-12,1451162.7315771417
2015-01-13,1449242.9746215646
2015-01-14,1439489.7733236153
2015-01-15,1433850.2016684422
2015-01-16,1446856.7722486455
2015-01-20,1443100.0152088148
2015-01-21,1446823.942740815
2015-01-22,1471553.2475824703
2015-01-23,1463060.3903952294
2015-01-26,1463867.0987856542
2015-01-27,1437809.2324540128
2015-01-28,1427830.3378003526
2015-01-29,1443209.201230946
2015-01-30,1407398.6228948876
2015-02-02,1422185.1344407212
2015-02-04,1418639.633421988
2015-02-05,1428051.489489046
2015-02-06,1420435.7436685893
2015-02-09,1407702.8414981875
2015-02-10,1427003.4564577914
2015-02-11,1434374.7436649597
2015-02-12,1435070.2976424687
2015-02-13,1433621.5739210807
2015-02-17,1434014.010087931
2015-02-18,1440337.1001599121
2015-02-19,1427690.4583334976
2015-02-20,1435092.070144052
2015-02-23,1441333.3010461456
2015-02-24,1443959.1141064123
2015-02-25,1438655.225573338
2015-02-26,1442476.4287866945
2015-02-27,1438469.6965126658
2015-03-02,1444130.9224781792
2015-03-04,1439185.621763168
2015-03-05,1438717.215211198
2015-03-06,1415974.9617843237
2015-03-09,1420867.4920613742
2015-03-10,1400664.7637059076
2015-03-11,1386860.086690106
2015-03-12,1410275.3821188803
2015-03-13,1402263.0568211877
2015-03-16,1421082.239339079
2015-03-17,1410496.8504773802
2015-03-18,1420504.9528409461
2015-03-19,1412100.16346324
2015-03-20,1427081.3053000618
2015-03-23,1434961.7601182358
2015-03-24,1433484.9353532605
2015-03-25,1412656.6326161507
2015-03-26,1412846.6698111543
2015-03-27,1411052.767478082
2015-03-30,1427234.1405429132
2015-03-31,1417311.8321219126
