date,portfolio_value
2020-06-03,1014972.9857826774
2020-06-04,1016619.8857612798
2020-06-05,1044076.6291230983
2020-06-08,1062621.6597736864
2020-06-09,1057921.1764046026
2020-06-10,1047359.3657300873
2020-06-11,982386.7863900634
2020-06-12,995528.22567016
2020-06-15,1002033.6763432714
2020-06-16,1022245.1579561344
2020-06-17,1016961.3262507635
2020-06-18,1017477.9015983597
2020-06-19,1014782.0927634386
2020-06-22,1017724.1266049739
2020-06-23,1020976.2911903544
2020-06-24,993225.6384412935
2020-06-25,1007874.5972014136
2020-06-26,976924.2877420885
2020-06-29,995079.9022675619
2020-06-30,1009076.9410115399
2020-07-01,1014125.3453307309
2020-07-06,1034135.9124450284
2020-07-07,1024535.108825699
2020-07-08,1029657.2146510673
2020-07-09,1019261.5620282767
2020-07-10,1041183.5906195001
2020-07-13,1038965.3511911529
2020-07-14,1054531.2154592322
2020-07-15,1062105.8598609043
2020-07-16,1058968.8686490948
2020-07-17,1054309.6445522252
2020-07-20,1058589.2997943144
2020-07-21,1065753.444125463
2020-07-22,1069589.3382011936
2020-07-23,1058230.6129274806
2020-07-24,1052252.1988277638
2020-07-27,1060524.7083066318
2020-07-28,1053847.5734572485
2020-07-29,1060552.8663328188
2020-07-30,1050227.3037895209
2020-07-31,1049802.8559155632
2020-08-03,1057123.9496667278
2020-08-05,1063824.2525669048
2020-08-06,1067803.9308193477
2020-08-07,1070683.188793157
2020-08-10,1076892.8837782585
2020-08-11,1071569.4024576254
2020-08-12,1089761.2965211007
2020-08-13,1088140.553220493
2020-08-14,1090769.9849745831
2020-08-17,1094135.9160355346
2020-08-18,1095658.4892592959
2020-08-19,1090010.8138935522
2020-08-20,1090792.7758276728
2020-08-21,1094117.920980452
2020-08-24,1106712.0548169133
2020-08-25,1106734.9244429348
2020-08-26,1115406.7437871587
2020-08-27,1118945.8308694637
2020-08-28,1127368.6172048887
2020-08-31,1124690.311040889
2020-09-01,1126615.4201091032
2020-09-03,1097228.0888811823
2020-09-04,1093873.9611465794
2020-09-08,1060561.1025422653
2020-09-09,1077657.263279092
2020-09-10,1057585.1215598325
2020-09-11,1061219.0911503255
2020-09-14,1071783.378069098
2020-09-15,1072236.0945272024
2020-09-16,1075235.4663474904
2020-09-17,1069216.6407562504
2020-09-18,1062052.4010290815
2020-09-21,1044861.0884323801
2020-09-22,1047197.0410782091
2020-09-23,1021853.557689442
2020-09-24,1026347.4689663408
2020-09-25,1038124.170876876
2020-09-28,1053715.6476104807
2020-09-29,1045387.8446117283
2020-09-30,1057529.998863044
2020-10-01,1058998.4020345756
2020-10-05,1077268.0517398901
2020-10-06,1059933.1187147575
2020-10-07,1077520.5210294079
2020-10-08,1089424.1938984203
2020-10-09,1095268.5313991564
2020-10-12,1111723.9973778434
2020-10-13,1104963.0525042766
2020-10-14,1097262.7392635955
2020-10-15,1097400.538811663
2020-10-16,1098619.2633282444
2020-10-19,1082164.0339866166
2020-10-20,1088436.181713786
2020-10-21,1080766.0751234642
2020-10-22,1092744.0285295611
2020-10-23,1096926.0532716408
2020-10-26,1077573.1445659443
2020-10-27,1069844.9586151573
2020-10-28,1034311.0205873629
2020-10-29,1043580.8581477359
2020-10-30,1037871.7749960567
2020-11-02,1055837.1323447833
2020-11-04,1072510.1604568406
2020-11-05,1087652.8048464616
2020-11-06,1087312.798819683
2020-11-09,1119164.2758741658
2020-11-10,1128811.8125342138
2020-11-11,1134053.333233537
2020-11-12,1122857.7818275637
2020-11-13,1138486.4571783158
2020-11-16,1155659.758331719
2020-11-17,1152644.894070161
2020-11-18,1143967.293379893
2020-11-19,1149865.8136633243
2020-11-20,1144386.6498699568
2020-11-23,1158220.1180472155
2020-11-24,1182852.8126302222
2020-11-25,1181174.7280462119
2020-11-27,1182938.8061422992
2020-11-30,1170880.9326287888
2020-12-01,1183340.0163824772
2020-12-03,1185473.5365330835
2020-12-04,1199209.597067837
2020-12-07,1196182.5886620197
2020-12-08,1202064.465746224
2020-12-09,1196939.9378464234
2020-12-10,1197404.8361497486
2020-12-11,1192138.945598749
2020-12-14,1181607.3410685372
2020-12-15,1192398.988926985
2020-12-16,1191587.038280801
2020-12-17,1196264.47145988
2020-12-18,1192385.458865269
2020-12-21,1192158.983323807
2020-12-22,1181117.3387943734
2020-12-23,1188577.366190632
2020-12-24,1189036.47134832
2020-12-28,1197964.2467422325
2020-12-29,1197039.2179596082
2020-12-30,1197746.2550778643
2020-12-31,1205851.273465601
2021-01-04,1193606.685366858
2021-01-06,1205977.3229637379
2021-01-07,1220232.03177052
2021-01-08,1224473.772280597
2021-01-11,1223016.3736749438
2021-01-12,1227201.903011542
2021-01-13,1227579.2859962718
2021-01-14,1227000.076076957
2021-01-15,1212904.8969265022
2021-01-19,1220709.0732362315
2021-01-20,1234065.918141357
2021-01-21,1229100.282424012
2021-01-22,1226519.813437606
2021-01-25,1227279.4442305048
2021-01-26,1229156.0931241065
2021-01-27,1196991.1401164592
2021-01-28,1205831.5881954373
2021-01-29,1181239.9675162034
2021-02-01,1191333.8038519209
2021-02-03,1201495.5198380807
2021-02-04,1212050.5555315104
2021-02-05,1217030.7596824188
2021-02-08,1227017.2591947205
2021-02-09,1227059.035533964
2021-02-10,1227167.2080940697
2021-02-11,1223175.2021325587
2021-02-12,1228581.581853538
2021-02-16,1233119.91336724
2021-02-17,1240079.9866331625
2021-02-18,1231694.359333677
2021-02-19,1229244.733442538
2021-02-22,1230207.3578034567
2021-02-23,1230641.3547347768
2021-02-24,1246183.985806921
2021-02-25,1224499.3453004686
2021-02-26,1209526.2294331205
2021-03-01,1233167.798668949
2021-03-03,1227327.3620037339
2021-03-04,1220961.6409015204
2021-03-05,1241007.8487574519
2021-03-08,1239993.3875161011
2021-03-09,1249170.4015012349
2021-03-10,1264313.0140514672
2021-03-11,1268325.266944349
2021-03-12,1276294.3839912429
2021-03-15,1285613.1149517607
2021-03-16,1283246.2002102076
2021-03-17,1286941.4953560717
2021-03-18,1272754.3906425224
2021-03-19,1271914.0625057933
2021-03-22,1278518.8707163571
2021-03-23,1270116.8458585439
2021-03-24,1268099.1820613923
2021-03-25,1274217.7699057364
2021-03-26,1291821.1548003529
2021-03-29,1295599.0452890557
2021-03-30,1292205.821663458
2021-03-31,1293280.5881212098
2021-04-01,1302548.764428864
2021-04-06,1300146.5333262612
2021-04-07,1304163.508798363
2021-04-08,1305634.13114356
2021-04-09,1312989.0108865865
2021-04-12,1314979.7134496046
2021-04-13,1313860.7098422807
2021-04-14,1316015.1229717354
2021-04-15,1325185.7721641934
2021-04-16,1330143.529956278
2021-04-19,1328710.709273023
2021-04-20,1319678.070909516
2021-04-21,1329143.6018106877
2021-04-22,1314663.003508938
2021-04-23,1326993.0392031618
2021-04-26,1325837.7882448442
2021-04-27,1325190.324864845
2021-04-28,1328741.8999568042
2021-04-29,1339390.057537582
2021-04-30,1331093.6026772293
2021-05-03,1343376.7088599226
2021-05-05,1353272.3136877478
2021-05-06,1364290.4961945356
2021-05-07,1373061.0331386845
2021-05-10,1368032.545247426
2021-05-11,1352252.2547972407
2021-05-12,1334393.969009233
2021-05-13,1347743.793249086
2021-05-14,1364805.1718631168
2021-05-17,1369164.8999143422
2021-05-18,1360436.894529854
2021-05-19,1353687.6096073892
2021-05-20,1363109.6643593858
2021-05-21,1365227.8453290157
2021-05-24,1375271.6791086574
2021-05-25,1369484.6924625721
2021-05-26,1371362.1832521204
2021-05-27,1371927.2772412575
2021-05-28,1372847.3901221675
2021-06-01,1376149.1886659658
2021-06-03,1377368.3718906657
2021-06-04,1385551.8061239843
2021-06-07,1381450.5956025904
2021-06-08,1378471.7227217082
2021-06-09,1376153.9700610482
2021-06-10,1381086.9411125793
2021-06-11,1380389.5499732643
2021-06-14,1378929.5192185985
2021-06-15,1377591.9788256655
2021-06-16,1370322.2755203866
2021-06-17,1363108.7835542895
