,weight
AAPL,9.485118692030815e-17
MSFT,1.0739281181667061e-16
GOOGL,0.10598356787763855
AMZN,0.0
META,0.0
TSLA,0.0
NVDA,0.022089698968036867
NFLX,0.0
JPM,0.007140304562576237
BAC,1.0461677445025845e-16
WFC,3.999615147722277e-17
GS,0.021107980394327007
MS,0.00699563645368812
C,0.0241830473299825
JNJ,0.3499999999999996
PFE,0.0
UNH,0.0
ABBV,0.03186191877330725
MRK,0.04863082753371476
CVS,0.07671690316402037
WMT,0.08282752734472344
PG,1.997942251092734e-18
KO,0.07806754543093532
PEP,0.0
MCD,0.0
HD,0.0
XOM,0.021602510285691816
CVX,0.0
COP,2.2740191547597438e-17
SLB,5.751649594938407e-19
BA,4.731920319626553e-18
CAT,0.058200454494000665
GE,0.06459207738735705
MMM,0.0
