,weight
AAPL,1.2316185261338027e-09
MSFT,5.83118434215732e-10
GOOGL,0.21138115013250253
AMZN,5.392322363095869e-10
META,4.607017752485485e-10
TSLA,3.204728694169878e-10
NVDA,1.0608698327530628e-09
NFLX,3.2426256068991837e-10
JPM,2.463014154630983e-09
BAC,4.460355148455919e-09
WFC,8.44906076165374e-09
GS,5.811025897605955e-09
MS,3.369055687993877e-08
C,0.03672969627750498
JNJ,0.24999999847657295
PFE,1.1882919994195848e-09
UNH,3.1997102659995714e-10
ABBV,0.10000015497277417
MRK,0.013843358950855039
CVS,0.12679080129382975
WMT,0.04999998193065474
PG,7.259665456163162e-10
KO,1.1060250192504117e-08
PEP,1.4281770831539513e-09
MCD,1.7986180163115012e-09
HD,5.161358514100931e-10
XOM,2.2625348440326714e-08
CVX,4.384409595313927e-09
COP,1.629890935198977e-09
SLB,1.8303741172700458e-09
BA,2.6646482941087376e-09
CAT,0.07477544887523399
GE,0.136479297057145
MMM,2.4665557854144356e-09
