,0
AMZN,3.8010862926697675e-15
META,1.084850751643895e-13
TSLA,1.3086053525369615e-13
NVDA,1.089612667473924e-13
ABBV,0.0
WMT,0.0
GOOGL,0.24859134509436037
GE,0.05209122864553303
AAPL,2.4225152014338292e-14
COP,8.452158926790215e-14
PFE,0.0
JNJ,0.1986494968500514
C,0.24999999999976896
CAT,5.31420330853138e-14
MRK,0.2499999999995289
NFLX,1.5606713668631022e-13
HD,8.577065801818273e-14
GS,1.1711662105600242e-13
BAC,1.363087100900453e-13
JPM,1.0717159841258088e-13
WFC,1.4667610570900986e-13
PEP,0.0
XOM,1.7227163502042262e-14
PG,0.0
UNH,0.0
BA,1.808964084545326e-13
MSFT,7.151811015641545e-14
KO,0.0
MCD,0.0
SLB,1.211804957041884e-13
CVS,0.0006679294092594176
CVX,5.10007067875643e-14
MS,1.38642542115272e-13
MMM,1.390153655823815e-14
