,weight
TSLA,0.2500070361788345
UNH,6.829902066612138e-06
COP,6.975092059327516e-06
MSFT,6.811798223502425e-06
META,6.871730366593713e-06
MRK,6.740790748453788e-06
GE,0.20663935588780213
PG,6.686942619360559e-06
CVS,6.767731281003502e-06
AMZN,6.813236930470948e-06
MS,6.929915561963493e-06
HD,6.801506232067057e-06
WFC,6.922516649159895e-06
WMT,0.010915418044941182
BAC,6.9237626593316175e-06
MMM,6.798680534385777e-06
NFLX,6.827603048577009e-06
CVX,6.927215118157495e-06
JNJ,6.713481261948206e-06
MCD,6.7754209237922335e-06
ABBV,0.013365751640332131
C,6.963689591849267e-06
CAT,0.2500068508515335
XOM,6.891009818989693e-06
JPM,6.896114441654892e-06
NVDA,0.2500069538747009
PEP,6.731152035590944e-06
BA,6.929983298847004e-06
GOOGL,0.018873814123697537
AAPL,6.828582980310194e-06
PFE,6.764741431630191e-06
KO,6.728502331625823e-06
SLB,7.0134981021040215e-06
GS,6.918272193222012e-06
