,weight
AAPL,1.0526333492353756e-18
MSFT,0.07950264373396025
GOOGL,0.0419004763728168
AMZN,0.0006456286955021535
META,0.0
TSLA,9.105627012560698e-19
NVDA,0.02539071459935338
NFLX,0.02240954633428981
JPM,0.007742295983248381
BAC,0.0
WFC,0.0053945674331617585
GS,0.0
MS,1.7816563478795213e-19
C,0.0
JNJ,0.13514663310073458
PFE,0.004153304929426262
UNH,0.037035947729720076
ABBV,0.005504379846191365
MRK,0.014786243874282366
CVS,0.020968951847767113
WMT,0.07448647141364365
PG,0.10820036635737414
KO,0.14110164654483467
PEP,0.06313041754472777
MCD,0.08471332934158597
HD,0.0
XOM,0.07328660925477636
CVX,0.031203693507183952
COP,3.1950634261607066e-19
SLB,4.468325324538791e-19
BA,0.00618575395233817
CAT,0.007296226974842443
GE,0.009814150628238639
MMM,2.9742074164211563e-18
