,weight
AAPL,0.029301217881731362
MSFT,0.032198539992033676
GOOGL,0.025066061489506478
AMZN,0.02378195424589968
META,0.01999529274757556
TSLA,0.012705528455007876
NVDA,0.015298690395158026
NFLX,0.022404921131607913
JPM,0.03247071774852841
BAC,0.029551263181200913
WFC,0.026577194360738986
GS,0.027745026831954973
MS,0.027377079002097356
C,0.027170155186776394
JNJ,0.04247084194099627
PFE,0.031036755659993757
UNH,0.022512953461821986
ABBV,0.03228083993162169
MRK,0.03136844804229323
CVS,0.024275977835712538
WMT,0.037224998704185004
PG,0.04434921820725735
KO,0.04860537095302181
PEP,0.04013609869629266
MCD,0.04319768985094375
HD,0.03431311390328852
XOM,0.03294971958212932
CVX,0.03347320148822686
COP,0.026330319070545567
SLB,0.023390099569998685
BA,0.02277269054840388
CAT,0.026094794040456167
GE,0.026484621654875837
MMM,0.025088604208117427
